segment_id,speaker_id,accent,source_speaker_code,source_speaker_number,source_speaker_sex,half,utt_interval_index,start_seconds,end_seconds,duration_seconds,sentence_raw,sentence_normalized,corpus_role,test_actual_talker,is_actual_test_talker,behavior_item_id,in_experiment_audio,word_interval_count,phone_interval_count,source_wav_relpath,source_textgrid_relpath
B23-BRP-HT1-utt022,B23.BRP.BRP,BRP,PBR,006,M,HT1,22,17.269000000000002,18.909,1.639999999999997,THE PAINT DRIPPED ON THE GROUND,THE PAINT DRIPPED ON THE GROUND,counterfactual_test,B23.TUR.TUR,false,B23.TUR.TUR.S8954,false,7,21,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt024,B23.BRP.BRP,BRP,PBR,006,M,HT1,24,19.111,20.58,1.4689999999999976,THE TOWEL FELL ON THE FLOOR,THE TOWEL FELL ON THE FLOOR,counterfactual_test,B23.SPA.SPA,false,B23.SPA.SPA.S7585,false,7,17,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt026,B23.BRP.BRP,BRP,PBR,006,M,HT1,26,20.811,22.31,1.4989999999999988,THE FAMILY LIKES FISH,THE FAMILY LIKES FISH,training_sentence,,false,,true,4,14,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt028,B23.BRP.BRP,BRP,PBR,006,M,HT1,28,22.389,24.188999999999997,1.7999999999999972,THE BANANAS ARE TOO RIPE,THE BANANAS ARE TOO RIPE,training_sentence,,false,,true,6,17,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt030,B23.BRP.BRP,BRP,PBR,006,M,HT1,30,24.614,26.512999999999998,1.8989999999999974,HE GREW LOTS OF VEGETABLES,HE GREW LOTS OF VEGETABLES,training_sentence,,false,,true,6,21,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt032,B23.BRP.BRP,BRP,PBR,006,M,HT1,32,26.709,28.538,1.8290000000000006,SHE ARGUES WITH HER SISTER,SHE ARGUES WITH HER SISTER,training_sentence,,false,,true,6,19,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt034,B23.BRP.BRP,BRP,PBR,006,M,HT1,34,28.865000000000002,30.584,1.7189999999999976,THE KITCHEN WINDOW WAS CLEAN,THE KITCHEN WINDOW WAS CLEAN,counterfactual_test,B23.FAR.FAR,false,B23.FAR.FAR.S7645,false,5,19,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt036,B23.BRP.BRP,BRP,PBR,006,M,HT1,36,30.821,32.510000000000005,1.6890000000000036,HE HUNG UP HIS RAINCOAT,HE HUNG UP HIS RAINCOAT,training_sentence,,false,,true,5,16,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt038,B23.BRP.BRP,BRP,PBR,006,M,HT1,38,32.690000000000005,34.231,1.5409999999999968,THE MAILMAN BROUGHT A LETTER,THE MAILMAN BROUGHT A LETTER,counterfactual_test,B23.TUR.TUR,false,B23.TUR.TUR.S9841,false,5,17,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt040,B23.BRP.BRP,BRP,PBR,006,M,HT1,40,34.480000000000004,36.160000000000004,1.6799999999999997,THE MOTHER HEARD THE BABY,THE MOTHER HEARD THE BABY,counterfactual_test,B23.SPA.SPA,false,B23.SPA.SPA.S7540,false,5,15,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt042,B23.BRP.BRP,BRP,PBR,006,M,HT1,42,36.435,38.265,1.8299999999999983,SHE FOUND HER PURSE IN THE TRASH,SHE FOUND HER PURSE IN THE TRASH,counterfactual_test,B23.TUR.TUR,false,B23.TUR.TUR.S9445,false,7,19,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt044,B23.BRP.BRP,BRP,PBR,006,M,HT1,44,38.445,40.015,1.5700000000000003,THE TABLE HAS THREE LEGS,THE TABLE HAS THREE LEGS,training_sentence,,false,,true,5,17,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt046,B23.BRP.BRP,BRP,PBR,006,M,HT1,46,40.102000000000004,42.132000000000005,2.030000000000001,THE CHILDREN WAVED AT THE TRAIN,THE CHILDREN WAVED AT THE TRAIN,training_sentence,,false,,true,10,25,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt048,B23.BRP.BRP,BRP,PBR,006,M,HT1,48,42.34,43.681000000000004,1.341000000000001,HER COAT IS ON A CHAIR,HER COAT IS ON A CHAIR,training_sentence,,false,,true,7,14,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt050,B23.BRP.BRP,BRP,PBR,006,M,HT1,50,43.747,45.756,2.0090000000000003,THE GIRL IS FIXING HER DRESS,THE GIRL IS FIXING HER DRESS,training_sentence,,false,,true,6,19,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt052,B23.BRP.BRP,BRP,PBR,006,M,HT1,52,45.855000000000004,47.244,1.3889999999999958,IT'S TIME TO GO TO BED,IT'S TIME TO GO TO BED,counterfactual_test,B23.TUR.TUR,false,B23.TUR.TUR.S5774,false,6,15,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt054,B23.BRP.BRP,BRP,PBR,006,M,HT1,54,47.36600000000001,48.946000000000005,1.5799999999999983,MOTHER READ THE INSTRUCTIONS,MOTHER READ THE INSTRUCTIONS,counterfactual_test,B23.TUR.TUR,false,B23.TUR.TUR.S5714,false,4,20,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt056,B23.BRP.BRP,BRP,PBR,006,M,HT1,56,49.028000000000006,50.599000000000004,1.570999999999998,THE DOG IS EATING SOME MEAT,THE DOG IS EATING SOME MEAT,actual_test,B23.BRP.BRP,true,B23.BRP.BRP.S5292,true,6,17,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt058,B23.BRP.BRP,BRP,PBR,006,M,HT1,58,50.99300000000001,52.51200000000001,1.5189999999999984,FATHER FORGOT THE BREAD,FATHER FORGOT THE BREAD,training_sentence,,false,,true,4,16,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt060,B23.BRP.BRP,BRP,PBR,006,M,HT1,60,52.71600000000001,54.175000000000004,1.458999999999996,THE ROAD GOES UP A HILL,THE ROAD GOES UP A HILL,training_sentence,,false,,true,6,14,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt062,B23.BRP.BRP,BRP,PBR,006,M,HT1,62,54.19800000000001,55.86700000000001,1.669000000000004,THE PAINTER USES A BRUSH,THE PAINTER USES A BRUSH,counterfactual_test,B23.SPA.SPA,false,B23.SPA.SPA.S2669,false,6,18,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt064,B23.BRP.BRP,BRP,PBR,006,M,HT1,64,55.99900000000001,57.90800000000001,1.908999999999999,THE FAMILY BOUGHT A HOUSE,THE FAMILY BOUGHT A HOUSE,training_sentence,,false,,true,5,15,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt066,B23.BRP.BRP,BRP,PBR,006,M,HT1,66,58.01100000000001,60.11100000000001,2.1000000000000014,SWIMMERS CAN HOLD THEIR BREATH,SWIMMERS CAN HOLD THEIR BREATH,counterfactual_test,B23.SPA.SPA,false,B23.SPA.SPA.S0812,false,5,20,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt068,B23.BRP.BRP,BRP,PBR,006,M,HT1,68,60.722000000000016,62.951000000000015,2.228999999999999,SHE CUT THE STEAK WITH HER KNIFE,SHE CUT THE STEAK WITH HER KNIFE,training_sentence,,false,,true,8,20,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt070,B23.BRP.BRP,BRP,PBR,006,M,HT1,70,63.13200000000001,64.79100000000001,1.658999999999999,THEY'RE PUSHING AN OLD CAR,THEY'RE PUSHING AN OLD CAR,counterfactual_test,B23.SPA.SPA,false,B23.SPA.SPA.S0101,false,6,17,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt072,B23.BRP.BRP,BRP,PBR,006,M,HT1,72,64.97500000000002,66.48400000000002,1.5090000000000003,THE FOOD IS EXPENSIVE,THE FOOD IS EXPENSIVE,training_sentence,,false,,true,4,16,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt074,B23.BRP.BRP,BRP,PBR,006,M,HT1,74,66.70000000000002,68.45900000000002,1.7590000000000003,THE CHILDREN ARE WALKING HOME,THE CHILDREN ARE WALKING HOME,training_sentence,,false,,true,5,19,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt076,B23.BRP.BRP,BRP,PBR,006,M,HT1,76,68.59400000000002,70.37300000000002,1.7789999999999964,THEY HAD TWO EMPTY BOTTLES,THEY HAD TWO EMPTY BOTTLES,counterfactual_test,B23.TUR.TUR,false,B23.TUR.TUR.S2368,false,5,18,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt078,B23.BRP.BRP,BRP,PBR,006,M,HT1,78,70.52800000000002,72.29800000000002,1.769999999999996,MILK COMES IN A CARTON,MILK COMES IN A CARTON,training_sentence,,false,,true,6,18,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt080,B23.BRP.BRP,BRP,PBR,006,M,HT1,80,72.52100000000003,74.34100000000002,1.8199999999999932,THE DOG SLEEPS IN A BASKET,THE DOG SLEEPS IN A BASKET,counterfactual_test,B23.SPA.SPA,false,B23.SPA.SPA.S0195,false,6,19,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt082,B23.BRP.BRP,BRP,PBR,006,M,HT1,82,74.58500000000004,76.50500000000004,1.9200000000000017,THE HOUSE HAD NINE BEDROOMS,THE HOUSE HAD NINE BEDROOMS,training_sentence,,false,,true,5,18,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt084,B23.BRP.BRP,BRP,PBR,006,M,HT1,84,76.70000000000003,79.07000000000002,2.3699999999999903,THEY'RE SHOPPING FOR SCHOOL CLOTHES,THEY'RE SHOPPING FOR SCHOOL CLOTHES,training_sentence,,false,,true,6,21,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt086,B23.BRP.BRP,BRP,PBR,006,M,HT1,86,79.17600000000003,80.65500000000003,1.4789999999999992,THEY'RE PLAYING IN THE PARK,THEY'RE PLAYING IN THE PARK,counterfactual_test,B23.SPA.SPA,false,B23.SPA.SPA.S9275,false,5,16,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt088,B23.BRP.BRP,BRP,PBR,006,M,HT1,88,80.93400000000003,82.61400000000003,1.6800000000000068,RAIN IS GOOD FOR TREES,RAIN IS GOOD FOR TREES,training_sentence,,false,,true,5,15,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt090,B23.BRP.BRP,BRP,PBR,006,M,HT1,90,82.75000000000003,84.58000000000003,1.8299999999999983,THEY SAT ON A WOODEN BENCH,THEY SAT ON A WOODEN BENCH,training_sentence,,false,,true,6,17,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt092,B23.BRP.BRP,BRP,PBR,006,M,HT1,92,84.79700000000003,86.92700000000002,2.1299999999999955,THE CHILD DRANK SOME FRESH MILK,THE CHILD DRANK SOME FRESH MILK,training_sentence,,false,,true,7,23,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt094,B23.BRP.BRP,BRP,PBR,006,M,HT1,94,87.18600000000002,88.90500000000003,1.7190000000000083,THE BABY SLEPT ALL NIGHT,THE BABY SLEPT ALL NIGHT,counterfactual_test,B23.TUR.TUR,false,B23.TUR.TUR.S2189,false,5,16,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt096,B23.BRP.BRP,BRP,PBR,006,M,HT1,96,89.34600000000002,91.26500000000001,1.918999999999997,THE SALT SHAKER IS EMPTY,THE SALT SHAKER IS EMPTY,counterfactual_test,B23.FAR.FAR,false,B23.FAR.FAR.S1186,false,5,17,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt098,B23.BRP.BRP,BRP,PBR,006,M,HT1,98,91.48100000000002,93.35000000000002,1.8689999999999998,THE POLICEMAN KNOWS THE WAY,THE POLICEMAN KNOWS THE WAY,counterfactual_test,B23.SPA.SPA,false,B23.SPA.SPA.S1886,false,5,17,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt100,B23.BRP.BRP,BRP,PBR,006,M,HT1,100,93.60900000000002,95.45900000000002,1.8499999999999943,THE BUCKETS FILL UP QUICKLY,THE BUCKETS FILL UP QUICKLY,actual_test,B23.BRP.BRP,true,B23.BRP.BRP.S7985,true,6,20,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt102,B23.BRP.BRP,BRP,PBR,006,M,HT1,102,95.68000000000002,97.04900000000002,1.3689999999999998,THE BOY IS RUNNING AWAY,THE BOY IS RUNNING AWAY,training_sentence,,false,,true,5,14,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt104,B23.BRP.BRP,BRP,PBR,006,M,HT1,104,97.21700000000003,99.00800000000002,1.7909999999999968,A TOWEL IS NEAR THE SINK,A TOWEL IS NEAR THE SINK,training_sentence,,false,,true,6,15,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt106,B23.BRP.BRP,BRP,PBR,006,M,HT1,106,99.24000000000002,100.90000000000002,1.6599999999999966,FLOWERS CAN GROW IN THE POT,FLOWERS CAN GROW IN THE POT,training_sentence,,false,,true,6,18,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt108,B23.BRP.BRP,BRP,PBR,006,M,HT1,108,101.07000000000002,102.79100000000003,1.7210000000000036,HE'S SKATING WITH HIS FRIEND,HE'S SKATING WITH HIS FRIEND,training_sentence,,false,,true,5,20,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt110,B23.BRP.BRP,BRP,PBR,006,M,HT1,110,102.94500000000002,104.70400000000002,1.7590000000000003,THE JANITOR SWEPT THE FLOOR,THE JANITOR SWEPT THE FLOOR,counterfactual_test,B23.SPA.SPA,false,B23.SPA.SPA.S2534,false,6,20,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt112,B23.BRP.BRP,BRP,PBR,006,M,HT1,112,104.88800000000002,106.54800000000002,1.6599999999999966,THE LADY WASHED THE SHIRT,THE LADY WASHED THE SHIRT,counterfactual_test,B23.SPA.SPA,false,B23.SPA.SPA.S9981,false,6,16,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
B23-BRP-HT1-utt114,B23.BRP.BRP,BRP,PBR,006,M,HT1,114,106.83100000000002,108.76100000000001,1.9299999999999926,SHE TOOK OFF HER FUR COAT,SHE TOOK OFF HER FUR COAT,training_sentence,,false,,true,7,15,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.wav,data/raw_data/bradlow_bassard_paller23/sound_stimuli/ALL_006_M_PBR_ENG_HT1.TextGrid
