scope,component,check,observed,expected,status,detail
X21_hubert_ft_tsne,feature_store,feature_keys,"cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8","cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_hubert_full_corpus_tsne_3d_ft.h5
X21_hubert_ft_tsne,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=107683163;mtime_ns=1786672133432674000;manifest_sha256=77d3d6714ad6d35513f7b76d63f67dbaaf9a6eccc6e849290ac373f2d7142ff7
X21_hubert_base_full,feature_store,dataset_id,X21,X21,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_hubert_full_corpus_features.h5
X21_hubert_base_full,feature_store,unit_count,660,660,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_hubert_full_corpus_features.h5
X21_hubert_base_full,feature_store,feature_keys,"cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8","cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_hubert_full_corpus_features.h5
X21_hubert_base_full,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=2363260518;mtime_ns=1786657062437627400;manifest_sha256=77d3d6714ad6d35513f7b76d63f67dbaaf9a6eccc6e849290ac373f2d7142ff7
X21_hubert_ft_full,feature_store,dataset_id,X21,X21,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_hubert_full_corpus_features_ft.h5
X21_hubert_ft_full,feature_store,unit_count,660,660,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_hubert_full_corpus_features_ft.h5
X21_hubert_ft_full,feature_store,feature_keys,"cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8","cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_hubert_full_corpus_features_ft.h5
X21_hubert_ft_full,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=2363014676;mtime_ns=1786657314757266200;manifest_sha256=77d3d6714ad6d35513f7b76d63f67dbaaf9a6eccc6e849290ac373f2d7142ff7
X21_acoustic,feature_store,dataset_id,X21,X21,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_acoustic_baselines_full_corpus.h5
X21_acoustic,feature_store,unit_count,660,660,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_acoustic_baselines_full_corpus.h5
X21_acoustic,feature_store,feature_keys,"mfcc39,strf24_legacy","mfcc39,strf24_legacy",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_acoustic_baselines_full_corpus.h5
X21_acoustic,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=30332498;mtime_ns=1786673805195856400;manifest_sha256=77d3d6714ad6d35513f7b76d63f67dbaaf9a6eccc6e849290ac373f2d7142ff7
B23_hubert_base_tsne,feature_store,dataset_id,B23,B23,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\bradlow23_tsne_3d.h5
B23_hubert_base_tsne,feature_store,unit_count,480,480,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\bradlow23_tsne_3d.h5
B23_hubert_base_tsne,feature_store,feature_keys,"cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8","cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\bradlow23_tsne_3d.h5
B23_hubert_base_tsne,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=44102621;mtime_ns=1786653675196436300;manifest_sha256=5cc7af75d5f23cab9eb557d64aa9a1e5f39c591c781f3e0571b0feca0b3f676b
B23_hubert_ft_tsne,feature_store,dataset_id,B23,B23,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\bradlow23_tsne_3d_ft.h5
B23_hubert_ft_tsne,feature_store,unit_count,480,480,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\bradlow23_tsne_3d_ft.h5
B23_hubert_ft_tsne,feature_store,feature_keys,"cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8","cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\bradlow23_tsne_3d_ft.h5
B23_hubert_ft_tsne,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=44073143;mtime_ns=1786655707374090800;manifest_sha256=5cc7af75d5f23cab9eb557d64aa9a1e5f39c591c781f3e0571b0feca0b3f676b
B23_hubert_base_full,feature_store,dataset_id,B23,B23,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\bradlow23_features.h5
B23_hubert_base_full,feature_store,unit_count,480,480,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\bradlow23_features.h5
B23_hubert_base_full,feature_store,feature_keys,"cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8","cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\bradlow23_features.h5
B23_hubert_base_full,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=2452719670;mtime_ns=1786647597183589700;manifest_sha256=5cc7af75d5f23cab9eb557d64aa9a1e5f39c591c781f3e0571b0feca0b3f676b
B23_hubert_ft_full,feature_store,dataset_id,B23,B23,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\bradlow23_features_ft.h5
B23_hubert_ft_full,feature_store,unit_count,480,480,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\bradlow23_features_ft.h5
B23_hubert_ft_full,feature_store,feature_keys,"cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8","cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\bradlow23_features_ft.h5
B23_hubert_ft_full,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=2452073358;mtime_ns=1786647744697164000;manifest_sha256=5cc7af75d5f23cab9eb557d64aa9a1e5f39c591c781f3e0571b0feca0b3f676b
B23_acoustic,feature_store,dataset_id,B23,B23,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\b23_acoustic_baselines_full_corpus.h5
B23_acoustic,feature_store,unit_count,480,480,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\b23_acoustic_baselines_full_corpus.h5
B23_acoustic,feature_store,feature_keys,"mfcc39,strf24_legacy","mfcc39,strf24_legacy",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\b23_acoustic_baselines_full_corpus.h5
B23_acoustic,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=23005365;mtime_ns=1786672750070480000;manifest_sha256=5cc7af75d5f23cab9eb557d64aa9a1e5f39c591c781f3e0571b0feca0b3f676b
