layer,fold,type,k,status,note,n_cells,n_trials,converged,singular,optimizer_code,convergence_messages,warnings,log_likelihood,elapsed_seconds
tr_0,1,corrected,0.2800448542665335,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_0,2,corrected,0.2800448542665335,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_2,0,diagnostic,0.1862413330131728,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_2,1,diagnostic,0.11000918108671545,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_2,2,diagnostic,0.3067629466417419,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_2,0,corrected,0.20100448691387673,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_2,1,corrected,0.20100448691387673,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_2,2,corrected,0.20100448691387673,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_4,0,diagnostic,0.494945852575985,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_4,1,diagnostic,0.3691101379339529,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_4,2,diagnostic,0.5987523558042757,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_4,0,corrected,0.4876027821047379,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_4,1,corrected,0.4876027821047379,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_4,2,corrected,0.4876027821047379,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_6,0,diagnostic,0.4339621144828419,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_6,1,diagnostic,0.5468495187924594,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_6,2,diagnostic,0.7081205348780014,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_6,0,corrected,0.5629773893844342,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_6,1,corrected,0.5629773893844342,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_6,2,corrected,0.5629773893844342,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_8,0,diagnostic,0.04286337695854343,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_8,1,diagnostic,0.3559743446288395,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_8,2,diagnostic,0.4330955308909317,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_8,0,corrected,0.2773110841594382,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_8,1,corrected,0.2773110841594382,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_8,2,corrected,0.2773110841594382,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_10,0,diagnostic,1.001186456249401,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_10,1,diagnostic,0.9353286098051883,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_10,2,diagnostic,1.3456651832417668,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_10,0,corrected,1.0940600830987854,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_10,1,corrected,1.0940600830987854,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_10,2,corrected,1.0940600830987854,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_12,0,diagnostic,1.1591616392188555,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_12,1,diagnostic,1.125683319232243,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_12,2,diagnostic,1.5429200577413582,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_12,0,corrected,1.2759216720641522,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_12,1,corrected,1.2759216720641522,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_12,2,corrected,1.2759216720641522,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_14,0,diagnostic,0.5819133102039077,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_14,1,diagnostic,0.6672936007487734,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_14,2,diagnostic,0.9037646792331057,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_14,0,corrected,0.7176571967285956,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_14,1,corrected,0.7176571967285956,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_14,2,corrected,0.7176571967285956,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_16,0,diagnostic,1.042120404214586,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_16,1,diagnostic,0.8616434274484258,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_16,2,diagnostic,1.004979705305554,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_16,0,corrected,0.969581178989522,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_16,1,corrected,0.969581178989522,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_16,2,corrected,0.969581178989522,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_18,0,diagnostic,0.5635203278440822,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_18,1,diagnostic,0.605528608961193,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_18,2,diagnostic,0.8855548483857533,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_18,0,corrected,0.6848679283970095,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_18,1,corrected,0.6848679283970095,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_18,2,corrected,0.6848679283970095,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_20,0,diagnostic,0.057169957615855124,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_20,1,diagnostic,0.024297884235678698,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_20,2,diagnostic,0.6962923365388913,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_20,0,corrected,0.25925339279680837,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_20,1,corrected,0.25925339279680837,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_20,2,corrected,0.25925339279680837,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_22,0,diagnostic,0.022455014662615652,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_22,1,diagnostic,0.01728808920405957,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_22,2,diagnostic,0.38320660701110976,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_22,0,corrected,0.14098323695926165,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_22,1,corrected,0.14098323695926165,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_22,2,corrected,0.14098323695926165,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_24,0,diagnostic,0.012976849193093791,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_24,1,diagnostic,0.5288050181819719,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_24,2,diagnostic,0.5317512805452205,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_24,0,corrected,0.3578443826400954,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_24,1,corrected,0.3578443826400954,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_24,2,corrected,0.3578443826400954,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
behavioral_ceiling,0,,,,,412.0,5557.0,True,False,0.0,,,-651.62090641381,0.17
behavioral_ceiling,1,,,,,412.0,5560.0,True,False,0.0,,,-629.907921719581,0.15
behavioral_ceiling,2,,,,,412.0,5360.0,True,True,0.0,boundary (singular) fit: see help('isSingular'),,-581.119456954994,0.15
