run_label,model_dir,score_file,score_sha256,n_score_rows,n_ratio_rows,n_features,n_invalid_ratio_rows,n_warning_ratio_rows,input_file,input_manifest_sha256,input_file_available,input_sha256
HVE-AN19-ft-120,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\AN19-ft-120\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\AN19-ft-120\m\train_test_scores.csv,eddb1c90a82164776ffbf11ada17ce8438e59db42193821bc94a16d197b81ff9,168,84,7,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\AN19-ft-120\input.csv,ae2d08890e31b6cd771d19f0eb83771521340be9b35544fbb27e20c46b3ae81d,True,ae2d08890e31b6cd771d19f0eb83771521340be9b35544fbb27e20c46b3ae81d
HVE-X21-base-320,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\X21-base-320\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\X21-base-320\m\train_test_scores.csv,5e6da3479783804f41bf9e3a6ba693fa5f0b2f44164c859e38c84cf7a0510aac,408,204,17,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\X21-base-320\input.csv,8d8ed72d03ba77b48124c688cb1a8d9eb57dead15a7e225d2022f47ac6d3eda3,True,8d8ed72d03ba77b48124c688cb1a8d9eb57dead15a7e225d2022f47ac6d3eda3
HVE-X21-ft-320,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\X21-ft-320\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\X21-ft-320\m\train_test_scores.csv,ece2f3e454f3b9d2f61b0be428e405f271aea10e6c46028c72da34ef78e19bc7,408,204,17,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\X21-ft-320\input.csv,bac1ba27740ff9225fe7bd89141f920a980068e413f2281d30913c8bfcaf3d4e,True,bac1ba27740ff9225fe7bd89141f920a980068e413f2281d30913c8bfcaf3d4e
HVE-B23-base-97,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\B23-base-97\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\B23-base-97\m\train_test_scores.csv,0f2e1a63bec33c588387c7707077c3c0c1bf9d523d13bd11ef772d7e71a20451,24,12,1,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\B23-base-97\input.csv,786971525f830c18d4ba5dd982d05c70dd020f7a879703b4221984a82e7554c8,True,786971525f830c18d4ba5dd982d05c70dd020f7a879703b4221984a82e7554c8
HVE-B23-base-168,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\B23-base-168\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\B23-base-168\m\train_test_scores.csv,18b0b60b8064d82fc3b6bb20b6e8fe4b7f6d52bede03c8a571aa6fe90b37c643,336,168,14,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\B23-base-168\input.csv,8210b759eebb296f6ce2b7fb8a8a0d42c94751ac95d50dd429733c7492010926,True,8210b759eebb296f6ce2b7fb8a8a0d42c94751ac95d50dd429733c7492010926
HVE-B23-ft-97,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\B23-ft-97\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\B23-ft-97\m\train_test_scores.csv,4b7b0ec43424b8c51643ee4743bab119c73706b051ea2744b252fb9d97c88fb2,24,12,1,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\B23-ft-97\input.csv,6c2d4f27102d5256d1e3d76530ab9545ec1ba59e5f880e1794265684ffbf7836,True,6c2d4f27102d5256d1e3d76530ab9545ec1ba59e5f880e1794265684ffbf7836
HVE-B23-ft-168,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\B23-ft-168\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\B23-ft-168\m\train_test_scores.csv,80ae26ade93ef33cb01b57d6f19250e925b0f75c3185b3cd5cc7ef178fca1543,336,168,14,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_tt\B23-ft-168\input.csv,f7059cde5decddda528da670c22812fdbe754d0a7aaadd338982993c4af00375,True,f7059cde5decddda528da670c22812fdbe754d0a7aaadd338982993c4af00375
HVE-global-AN19-base-120,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\AN19-base-120\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\AN19-base-120\m\train_test_scores.csv,0622a4e58f46039384a730b86cfaf483f15e2d3d8c90f44ea2cc9dcac610ea9f,816,408,34,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\AN19-base-120\input.csv,0ae01a725a38756198ced2364f573267b4d72de39ee0758cb885243649b07b61,True,0ae01a725a38756198ced2364f573267b4d72de39ee0758cb885243649b07b61
HVE-global-AN19-ft-120,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\AN19-ft-120\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\AN19-ft-120\m\train_test_scores.csv,82d9b8682e3230bb087e5fb30a6c48965f1637495d7feb58da5efc5ca38caeec,816,408,34,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\AN19-ft-120\input.csv,3be0da55bf377c87e58c66c30aa085ea5a58308bf8391988c4db3632324a5f9b,True,3be0da55bf377c87e58c66c30aa085ea5a58308bf8391988c4db3632324a5f9b
HVE-global-X21-base-320,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\X21-base-320\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\X21-base-320\m\train_test_scores.csv,8094ba01769832c35d7aa15aa3c5e512681026fed75b5bdb209c34b139c5b3fa,816,408,34,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\X21-base-320\input.csv,41c90e6c2b4191f8e38bb1c348a1849a402cb7e87c5a5cb251a5c4faadad916f,True,41c90e6c2b4191f8e38bb1c348a1849a402cb7e87c5a5cb251a5c4faadad916f
HVE-global-X21-ft-320,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\X21-ft-320\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\X21-ft-320\m\train_test_scores.csv,2c91cde120440611f9dfe04a8c45b4fe7e2fbe85023af6828959ae019e318723,816,408,34,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\X21-ft-320\input.csv,53ec4fe11820a2f8e26e6b923bff9925feca0c41f2b2d79b874edbefdc312311,True,53ec4fe11820a2f8e26e6b923bff9925feca0c41f2b2d79b874edbefdc312311
HVE-global-B23-base-97,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\B23-base-97\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\B23-base-97\m\train_test_scores.csv,c9456d4a1f2a09f4b1cd7e883ddd8fd5e2148d321559c03efc8d4af966d793a7,408,204,17,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\B23-base-97\input.csv,f09b06ce8f395c2abfd432dce7689adaa12905836dd43fed403d45e916157136,True,f09b06ce8f395c2abfd432dce7689adaa12905836dd43fed403d45e916157136
HVE-global-B23-base-168,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\B23-base-168\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\B23-base-168\m\train_test_scores.csv,60399afcbe63a5b859c22ab27dd41a8f350a8edc9a3dc57d6566a3e42cc438c3,408,204,17,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\B23-base-168\input.csv,e6f7fafddc45e2e7767d82b7fcd4f39d3d2ce590dbe0aa8f1f952116c67e1611,True,e6f7fafddc45e2e7767d82b7fcd4f39d3d2ce590dbe0aa8f1f952116c67e1611
HVE-global-B23-ft-97,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\B23-ft-97\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\B23-ft-97\m\train_test_scores.csv,f3da8acc5002f59ae8d9e260b3a5afa3dedc6de520a3770cb3ceda057fe19d64,408,204,17,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\B23-ft-97\input.csv,25986518473511de8d49d4eec0fa7ad8bb419e649fc255ca8c3a81e61e257070,True,25986518473511de8d49d4eec0fa7ad8bb419e649fc255ca8c3a81e61e257070
HVE-global-B23-ft-168,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\B23-ft-168\m,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\B23-ft-168\m\train_test_scores.csv,9c8a8da70120f1484d46434dd27669f3a8665cce44c0bac985e8ee19e1d8dfd3,408,204,17,0,0,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis_update_2026-09-17\hve_global\B23-ft-168\input.csv,ec725f10f18b09d6fd30183929cd0f9d85413685ab5e595169d6a83a9cba2041,True,ec725f10f18b09d6fd30183929cd0f9d85413685ab5e595169d6a83a9cba2041
