layer,fold,type,k,status,note,n_cells,n_trials,converged,singular,optimizer_code,convergence_messages,warnings,log_likelihood,elapsed_seconds
tr_0,1,corrected,0.5073088234951489,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_0,2,corrected,0.5073088234951489,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_2,0,diagnostic,0.6708674764894184,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_2,1,diagnostic,0.2689593848640327,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_2,2,diagnostic,0.7707555189021026,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_2,0,corrected,0.5701941267518512,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_2,1,corrected,0.5701941267518512,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_2,2,corrected,0.5701941267518512,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_4,0,diagnostic,0.9245631471510343,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_4,1,diagnostic,0.7168940145844017,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_4,2,diagnostic,1.0396601710038937,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_4,0,corrected,0.8937057775797767,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_4,1,corrected,0.8937057775797767,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_4,2,corrected,0.8937057775797767,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_6,0,diagnostic,0.8852722495652544,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_6,1,diagnostic,0.837814927896755,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_6,2,diagnostic,1.1034600863042003,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_6,0,corrected,0.9421824212554033,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_6,1,corrected,0.9421824212554033,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_6,2,corrected,0.9421824212554033,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_8,0,diagnostic,1.9547764987645413,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_8,1,diagnostic,1.753465442450436,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_8,2,diagnostic,2.3229235462393514,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_8,0,corrected,2.0103884958181095,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_8,1,corrected,2.0103884958181095,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_8,2,corrected,2.0103884958181095,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_10,0,diagnostic,2.236957947765227,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_10,1,diagnostic,1.960559116963422,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_10,2,diagnostic,3.068570633035084,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_10,0,corrected,2.422029232587911,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_10,1,corrected,2.422029232587911,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_10,2,corrected,2.422029232587911,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_12,0,diagnostic,4.106957290989818,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_12,1,diagnostic,3.8430891348891523,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_12,2,diagnostic,4.597133747906291,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_12,0,corrected,4.182393391261754,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_12,1,corrected,4.182393391261754,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_12,2,corrected,4.182393391261754,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_14,0,diagnostic,2.949688425938255,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_14,1,diagnostic,2.669951162370964,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_14,2,diagnostic,3.840807619535473,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_14,0,corrected,3.1534824026148978,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_14,1,corrected,3.1534824026148978,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_14,2,corrected,3.1534824026148978,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_16,0,diagnostic,3.3232488683352073,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_16,1,diagnostic,2.921513457593317,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_16,2,diagnostic,3.6233365564694267,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_16,0,corrected,3.2893662941326505,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_16,1,corrected,3.2893662941326505,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_16,2,corrected,3.2893662941326505,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_18,0,diagnostic,3.7297694465232327,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_18,1,diagnostic,3.006186279361242,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_18,2,diagnostic,4.580978206430421,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_18,0,corrected,3.772311310771632,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_18,1,corrected,3.772311310771632,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_18,2,corrected,3.772311310771632,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_20,0,diagnostic,4.986688444397009,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_20,1,diagnostic,4.674462354718218,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_20,2,diagnostic,4.997801516797782,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_20,0,corrected,4.886317438637669,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_20,1,corrected,4.886317438637669,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_20,2,corrected,4.886317438637669,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_22,0,diagnostic,1.0661406579312154,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_22,1,diagnostic,0.8466728036021522,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_22,2,diagnostic,2.103436419061154,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_22,0,corrected,1.338749960198174,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_22,1,corrected,1.338749960198174,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_22,2,corrected,1.338749960198174,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_24,0,diagnostic,1.0893209136115527,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_24,1,diagnostic,0.8082721383059399,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_24,2,diagnostic,1.764537254458212,complete,fold-specific k optimized without held-out test outcomes,,,,,,,,,
tr_24,0,corrected,1.220710102125235,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_24,1,corrected,1.220710102125235,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
tr_24,2,corrected,1.220710102125235,complete,exact legacy cross-fold mean-k result; contains k leakage,,,,,,,,,
behavioral_ceiling,0,,,,,412.0,5557.0,True,False,0.0,,,-651.62090641381,0.17
behavioral_ceiling,1,,,,,412.0,5560.0,True,False,0.0,,,-629.907921719581,0.14
behavioral_ceiling,2,,,,,412.0,5360.0,True,True,0.0,boundary (singular) fit: see help('isSingular'),,-581.119456954994,0.16
