analysis,canonical_phone,language,branch,mean_distance,ci_low,ci_high,n_talkers,n_word_types_min,n_word_types_max,ci_status
six_reference_complete,ah,Japanese,Japonic,62.852843260279315,,,1,3,3,not_estimable_one_talker
six_reference_complete,ah,Korean,Koreanic,45.461871594414895,39.37271175107288,51.28739178959342,12,2,3,talker_bootstrap_95pct
six_reference_complete,ah,Mandarin,Sino-Tibetan,28.4449591437935,,,1,3,3,not_estimable_one_talker
six_reference_complete,ah,Romanian,Romance,65.30385212387388,,,1,3,3,not_estimable_one_talker
six_reference_complete,ah,Russian,Slavic,36.263668155537296,,,1,3,3,not_estimable_one_talker
six_reference_complete,ah,Somali,Afro-Asiatic,76.58759313431456,,,1,1,1,not_estimable_one_talker
six_reference_complete,ah,Spanish,Romance,44.92472083646711,39.807092385230945,50.263245749053226,12,1,3,talker_bootstrap_95pct
six_reference_complete,ah,Turkish,Turkic,36.28991320534395,,,1,2,2,not_estimable_one_talker
six_reference_complete,ao,Albanian,Albanian,32.79997186064912,,,1,1,1,not_estimable_one_talker
six_reference_complete,ao,Bengali,Indo-Aryan,60.36583918984681,,,1,2,2,not_estimable_one_talker
six_reference_complete,ao,Dutch,Germanic,28.88018422544852,,,1,1,1,not_estimable_one_talker
six_reference_complete,ao,French,Romance,31.62072828234156,,,1,1,1,not_estimable_one_talker
six_reference_complete,ao,German,Germanic,48.89984819799685,,,1,2,2,not_estimable_one_talker
six_reference_complete,ao,Hindi,Indo-Aryan,57.66476118604087,,,1,1,1,not_estimable_one_talker
six_reference_complete,ao,Japanese,Japonic,47.56077110699766,,,1,2,2,not_estimable_one_talker
six_reference_complete,ao,Korean,Koreanic,43.945061255693226,37.43038981693213,51.78382399886152,11,1,3,talker_bootstrap_95pct
six_reference_complete,ao,Mandarin,Sino-Tibetan,49.267794648244205,,,1,2,2,not_estimable_one_talker
six_reference_complete,ao,Romanian,Romance,50.78259070749512,,,1,2,2,not_estimable_one_talker
six_reference_complete,ao,Russian,Slavic,52.64502565232556,,,1,2,2,not_estimable_one_talker
six_reference_complete,ao,Somali,Afro-Asiatic,48.636649474682685,,,1,2,2,not_estimable_one_talker
six_reference_complete,ao,Spanish,Romance,49.07401577747459,44.81967581747673,53.38525847286902,12,1,3,talker_bootstrap_95pct
six_reference_complete,ao,Turkish,Turkic,27.34154404559584,,,1,1,1,not_estimable_one_talker
six_reference_complete,ay,Albanian,Albanian,32.28817700061954,,,1,6,6,not_estimable_one_talker
six_reference_complete,ay,Bengali,Indo-Aryan,24.409660445314923,,,1,6,6,not_estimable_one_talker
six_reference_complete,ay,Dutch,Germanic,35.649827178564784,,,1,6,6,not_estimable_one_talker
six_reference_complete,ay,French,Romance,35.65450850930597,,,1,6,6,not_estimable_one_talker
six_reference_complete,ay,German,Germanic,28.01641638038548,,,1,6,6,not_estimable_one_talker
six_reference_complete,ay,Hindi,Indo-Aryan,27.513754288373274,,,1,6,6,not_estimable_one_talker
six_reference_complete,ay,Japanese,Japonic,32.7148905939699,,,1,6,6,not_estimable_one_talker
six_reference_complete,ay,Korean,Koreanic,35.33210191019131,31.238943425970753,39.48945559049861,12,5,6,talker_bootstrap_95pct
six_reference_complete,ay,Mandarin,Sino-Tibetan,36.216142062129364,,,1,6,6,not_estimable_one_talker
six_reference_complete,ay,Romanian,Romance,33.421319151523015,,,1,6,6,not_estimable_one_talker
six_reference_complete,ay,Russian,Slavic,34.46164856694567,,,1,6,6,not_estimable_one_talker
six_reference_complete,ay,Somali,Afro-Asiatic,41.36770296239596,,,1,6,6,not_estimable_one_talker
six_reference_complete,ay,Spanish,Romance,34.16754377138859,31.448620864672034,36.9405443365991,12,5,6,talker_bootstrap_95pct
six_reference_complete,ay,Turkish,Turkic,26.740879107391255,,,1,6,6,not_estimable_one_talker
six_reference_complete,b,Albanian,Albanian,43.96603163387715,,,1,5,5,not_estimable_one_talker
six_reference_complete,b,Bengali,Indo-Aryan,37.80323166721262,,,1,4,4,not_estimable_one_talker
six_reference_complete,b,Dutch,Germanic,49.43572889338774,,,1,4,4,not_estimable_one_talker
six_reference_complete,b,French,Romance,52.007593607619846,,,1,5,5,not_estimable_one_talker
six_reference_complete,b,German,Germanic,40.310651093534574,,,1,4,4,not_estimable_one_talker
six_reference_complete,b,Hindi,Indo-Aryan,34.81399937797623,,,1,5,5,not_estimable_one_talker
six_reference_complete,b,Japanese,Japonic,44.000491575928365,,,1,5,5,not_estimable_one_talker
six_reference_complete,b,Korean,Koreanic,38.29469977450332,34.712795585342356,41.94538625616405,12,3,5,talker_bootstrap_95pct
six_reference_complete,b,Mandarin,Sino-Tibetan,41.72299567154876,,,1,5,5,not_estimable_one_talker
six_reference_complete,b,Romanian,Romance,41.3769915642426,,,1,5,5,not_estimable_one_talker
six_reference_complete,b,Russian,Slavic,44.85872860092789,,,1,4,4,not_estimable_one_talker
six_reference_complete,b,Somali,Afro-Asiatic,30.680492949811843,,,1,5,5,not_estimable_one_talker
six_reference_complete,b,Spanish,Romance,45.12625900241746,42.43865973382768,47.72256712328259,12,4,5,talker_bootstrap_95pct
six_reference_complete,b,Turkish,Turkic,36.24379186172276,,,1,5,5,not_estimable_one_talker
six_reference_complete,ch,Albanian,Albanian,31.690932408419425,,,1,3,3,not_estimable_one_talker
six_reference_complete,ch,Bengali,Indo-Aryan,21.174140991193614,,,1,4,4,not_estimable_one_talker
six_reference_complete,ch,Dutch,Germanic,30.199488044935634,,,1,3,3,not_estimable_one_talker
six_reference_complete,ch,French,Romance,36.82604637389216,,,1,4,4,not_estimable_one_talker
six_reference_complete,ch,German,Germanic,31.066339421097783,,,1,3,3,not_estimable_one_talker
six_reference_complete,ch,Hindi,Indo-Aryan,24.65614384509467,,,1,4,4,not_estimable_one_talker
six_reference_complete,ch,Japanese,Japonic,49.03582480610403,,,1,4,4,not_estimable_one_talker
six_reference_complete,ch,Korean,Koreanic,30.37322657720618,24.970051863785052,37.03283113670421,12,2,4,talker_bootstrap_95pct
six_reference_complete,ch,Mandarin,Sino-Tibetan,23.163931856150604,,,1,4,4,not_estimable_one_talker
six_reference_complete,ch,Romanian,Romance,27.515193130677606,,,1,4,4,not_estimable_one_talker
six_reference_complete,ch,Russian,Slavic,22.233079036884703,,,1,3,3,not_estimable_one_talker
six_reference_complete,ch,Somali,Afro-Asiatic,62.85762610901931,,,1,2,2,not_estimable_one_talker
six_reference_complete,ch,Spanish,Romance,27.141624428439155,23.875944841486305,30.94162931128921,12,3,4,talker_bootstrap_95pct
six_reference_complete,ch,Turkish,Turkic,22.557741388207,,,1,4,4,not_estimable_one_talker
six_reference_complete,d,Albanian,Albanian,32.585096839215055,,,1,4,4,not_estimable_one_talker
six_reference_complete,d,Bengali,Indo-Aryan,57.80386760160179,,,1,6,6,not_estimable_one_talker
six_reference_complete,d,Dutch,Germanic,35.23394256096239,,,1,6,6,not_estimable_one_talker
six_reference_complete,d,French,Romance,35.77411124153637,,,1,6,6,not_estimable_one_talker
six_reference_complete,d,German,Germanic,32.92960208682132,,,1,5,5,not_estimable_one_talker
six_reference_complete,d,Hindi,Indo-Aryan,42.17065950372937,,,1,5,5,not_estimable_one_talker
six_reference_complete,d,Japanese,Japonic,56.195367153227124,,,1,6,6,not_estimable_one_talker
six_reference_complete,d,Korean,Koreanic,37.544753209096385,33.72744462797401,41.64674086105954,12,3,6,talker_bootstrap_95pct
six_reference_complete,d,Mandarin,Sino-Tibetan,32.09706174292649,,,1,6,6,not_estimable_one_talker
six_reference_complete,d,Romanian,Romance,53.179550459592754,,,1,6,6,not_estimable_one_talker
six_reference_complete,d,Russian,Slavic,40.609549155825036,,,1,5,5,not_estimable_one_talker
six_reference_complete,d,Somali,Afro-Asiatic,30.118489136799873,,,1,5,5,not_estimable_one_talker
six_reference_complete,d,Spanish,Romance,39.94375721362233,36.80565204088555,42.843608406597795,12,3,6,talker_bootstrap_95pct
six_reference_complete,d,Turkish,Turkic,27.92031791254461,,,1,4,4,not_estimable_one_talker
six_reference_complete,eh,Albanian,Albanian,63.81558383509494,,,1,4,4,not_estimable_one_talker
six_reference_complete,eh,Bengali,Indo-Aryan,58.6276692456213,,,1,4,4,not_estimable_one_talker
six_reference_complete,eh,Dutch,Germanic,42.94143666415443,,,1,4,4,not_estimable_one_talker
six_reference_complete,eh,French,Romance,43.80480693206888,,,1,4,4,not_estimable_one_talker
six_reference_complete,eh,German,Germanic,56.49665659738828,,,1,4,4,not_estimable_one_talker
six_reference_complete,eh,Hindi,Indo-Aryan,52.02686279082559,,,1,3,3,not_estimable_one_talker
six_reference_complete,eh,Japanese,Japonic,56.538204020833064,,,1,4,4,not_estimable_one_talker
six_reference_complete,eh,Korean,Koreanic,47.71811551082394,43.530924321619665,53.53876312262721,12,2,4,talker_bootstrap_95pct
six_reference_complete,eh,Mandarin,Sino-Tibetan,102.76657318961867,,,1,1,1,not_estimable_one_talker
six_reference_complete,eh,Romanian,Romance,58.700247163833524,,,1,3,3,not_estimable_one_talker
six_reference_complete,eh,Russian,Slavic,52.255890684773526,,,1,4,4,not_estimable_one_talker
six_reference_complete,eh,Somali,Afro-Asiatic,69.19434561288104,,,1,3,3,not_estimable_one_talker
six_reference_complete,eh,Spanish,Romance,51.674639992402554,47.29121866596416,56.03422543947535,12,3,4,talker_bootstrap_95pct
six_reference_complete,eh,Turkish,Turkic,47.85649471257594,,,1,4,4,not_estimable_one_talker
six_reference_complete,er,Albanian,Albanian,46.39833828233518,,,1,1,1,not_estimable_one_talker
six_reference_complete,er,Bengali,Indo-Aryan,19.19078702621944,,,1,1,1,not_estimable_one_talker
six_reference_complete,er,French,Romance,21.23460355541377,,,1,1,1,not_estimable_one_talker
six_reference_complete,er,German,Germanic,24.60228494271368,,,1,1,1,not_estimable_one_talker
six_reference_complete,er,Hindi,Indo-Aryan,32.93445400944405,,,1,1,1,not_estimable_one_talker
six_reference_complete,er,Japanese,Japonic,73.13851061532283,,,1,1,1,not_estimable_one_talker
six_reference_complete,er,Korean,Koreanic,24.377670826029746,22.153433303684466,26.910844051343407,11,1,1,talker_bootstrap_95pct
six_reference_complete,er,Mandarin,Sino-Tibetan,22.297117861916025,,,1,1,1,not_estimable_one_talker
six_reference_complete,er,Romanian,Romance,22.518785180662935,,,1,1,1,not_estimable_one_talker
six_reference_complete,er,Russian,Slavic,29.446332349334455,,,1,1,1,not_estimable_one_talker
six_reference_complete,er,Spanish,Romance,31.169032191385526,25.731412277601333,37.35668109475319,12,1,1,talker_bootstrap_95pct
six_reference_complete,er,Turkish,Turkic,23.0221972271718,,,1,1,1,not_estimable_one_talker
six_reference_complete,ey,Albanian,Albanian,30.112098687101366,,,1,6,6,not_estimable_one_talker
six_reference_complete,ey,Bengali,Indo-Aryan,37.70265203187433,,,1,6,6,not_estimable_one_talker
six_reference_complete,ey,Dutch,Germanic,30.27612457769563,,,1,6,6,not_estimable_one_talker
six_reference_complete,ey,French,Romance,25.72007871736241,,,1,6,6,not_estimable_one_talker
six_reference_complete,ey,German,Germanic,32.814344707105995,,,1,6,6,not_estimable_one_talker
six_reference_complete,ey,Hindi,Indo-Aryan,32.91679826238652,,,1,6,6,not_estimable_one_talker
six_reference_complete,ey,Japanese,Japonic,32.6908774892999,,,1,6,6,not_estimable_one_talker
six_reference_complete,ey,Korean,Koreanic,26.458412641831927,23.89151480634896,29.675643205751904,12,4,6,talker_bootstrap_95pct
six_reference_complete,ey,Mandarin,Sino-Tibetan,27.337211181876818,,,1,4,4,not_estimable_one_talker
six_reference_complete,ey,Romanian,Romance,25.033618161680312,,,1,6,6,not_estimable_one_talker
six_reference_complete,ey,Russian,Slavic,21.094496964186863,,,1,6,6,not_estimable_one_talker
six_reference_complete,ey,Somali,Afro-Asiatic,25.014388806871306,,,1,6,6,not_estimable_one_talker
six_reference_complete,ey,Spanish,Romance,29.641785180439243,27.33267258809751,31.930547880351703,12,4,6,talker_bootstrap_95pct
six_reference_complete,ey,Turkish,Turkic,23.925277708451333,,,1,6,6,not_estimable_one_talker
six_reference_complete,f,Albanian,Albanian,34.775417209621395,,,1,3,3,not_estimable_one_talker
six_reference_complete,f,Bengali,Indo-Aryan,29.227439006618624,,,1,2,2,not_estimable_one_talker
six_reference_complete,f,Dutch,Germanic,40.02979346856447,,,1,4,4,not_estimable_one_talker
six_reference_complete,f,French,Romance,51.41910988288973,,,1,4,4,not_estimable_one_talker
six_reference_complete,f,German,Germanic,35.060227632769696,,,1,4,4,not_estimable_one_talker
six_reference_complete,f,Hindi,Indo-Aryan,44.00936536879557,,,1,4,4,not_estimable_one_talker
six_reference_complete,f,Japanese,Japonic,67.6684095255115,,,1,3,3,not_estimable_one_talker
six_reference_complete,f,Korean,Koreanic,48.26164338501385,44.20263843339149,52.64550158817667,12,1,4,talker_bootstrap_95pct
six_reference_complete,f,Mandarin,Sino-Tibetan,49.25882155004865,,,1,4,4,not_estimable_one_talker
six_reference_complete,f,Romanian,Romance,42.11979433818214,,,1,3,3,not_estimable_one_talker
six_reference_complete,f,Russian,Slavic,45.2261541774308,,,1,4,4,not_estimable_one_talker
six_reference_complete,f,Somali,Afro-Asiatic,40.44709750890042,,,1,3,3,not_estimable_one_talker
six_reference_complete,f,Spanish,Romance,45.08701392129731,39.382485922951695,50.907252538284396,12,3,4,talker_bootstrap_95pct
six_reference_complete,f,Turkish,Turkic,41.95270640478578,,,1,3,3,not_estimable_one_talker
six_reference_complete,g,Albanian,Albanian,40.57924919643657,,,1,10,10,not_estimable_one_talker
six_reference_complete,g,Bengali,Indo-Aryan,49.680295135950075,,,1,8,8,not_estimable_one_talker
six_reference_complete,g,Dutch,Germanic,44.86277389218856,,,1,10,10,not_estimable_one_talker
six_reference_complete,g,French,Romance,47.57743184481413,,,1,8,8,not_estimable_one_talker
six_reference_complete,g,German,Germanic,35.1562902116791,,,1,9,9,not_estimable_one_talker
six_reference_complete,g,Hindi,Indo-Aryan,48.94294270498708,,,1,10,10,not_estimable_one_talker
six_reference_complete,g,Japanese,Japonic,50.152616299989084,,,1,8,8,not_estimable_one_talker
six_reference_complete,g,Korean,Koreanic,41.586060422438386,38.47730182649802,44.75370289017016,12,7,10,talker_bootstrap_95pct
six_reference_complete,g,Mandarin,Sino-Tibetan,36.1626426361601,,,1,10,10,not_estimable_one_talker
six_reference_complete,g,Romanian,Romance,59.56859284065168,,,1,8,8,not_estimable_one_talker
six_reference_complete,g,Russian,Slavic,57.480433422491856,,,1,9,9,not_estimable_one_talker
six_reference_complete,g,Somali,Afro-Asiatic,37.5224647674658,,,1,8,8,not_estimable_one_talker
six_reference_complete,g,Spanish,Romance,46.43814072342129,42.780921539753564,49.84898155168706,12,6,10,talker_bootstrap_95pct
six_reference_complete,g,Turkish,Turkic,36.330058336583505,,,1,8,8,not_estimable_one_talker
six_reference_complete,hh,Albanian,Albanian,43.25227813791105,,,1,2,2,not_estimable_one_talker
six_reference_complete,hh,Bengali,Indo-Aryan,27.186248360313627,,,1,4,4,not_estimable_one_talker
six_reference_complete,hh,Dutch,Germanic,29.656595474931695,,,1,3,3,not_estimable_one_talker
six_reference_complete,hh,French,Romance,23.476316079999243,,,1,4,4,not_estimable_one_talker
six_reference_complete,hh,German,Germanic,31.416305654970202,,,1,3,3,not_estimable_one_talker
six_reference_complete,hh,Hindi,Indo-Aryan,34.8075523247584,,,1,4,4,not_estimable_one_talker
six_reference_complete,hh,Japanese,Japonic,39.998282910984884,,,1,4,4,not_estimable_one_talker
six_reference_complete,hh,Korean,Koreanic,33.09132600037318,28.55522646233398,37.45652061788935,12,3,4,talker_bootstrap_95pct
six_reference_complete,hh,Mandarin,Sino-Tibetan,30.936906991551893,,,1,4,4,not_estimable_one_talker
six_reference_complete,hh,Romanian,Romance,69.53942985529567,,,1,3,3,not_estimable_one_talker
six_reference_complete,hh,Russian,Slavic,28.178196827730794,,,1,4,4,not_estimable_one_talker
six_reference_complete,hh,Somali,Afro-Asiatic,20.206680333940724,,,1,4,4,not_estimable_one_talker
six_reference_complete,hh,Spanish,Romance,33.37933493254082,28.280766190751805,40.24057222294847,12,2,4,talker_bootstrap_95pct
six_reference_complete,hh,Turkish,Turkic,28.13524854218569,,,1,3,3,not_estimable_one_talker
six_reference_complete,ih,Albanian,Albanian,27.12953557503734,,,1,3,3,not_estimable_one_talker
six_reference_complete,ih,Bengali,Indo-Aryan,41.54174624109787,,,1,4,4,not_estimable_one_talker
six_reference_complete,ih,Dutch,Germanic,42.106170057894104,,,1,4,4,not_estimable_one_talker
six_reference_complete,ih,French,Romance,47.73249115746061,,,1,4,4,not_estimable_one_talker
six_reference_complete,ih,German,Germanic,34.18157736312901,,,1,4,4,not_estimable_one_talker
six_reference_complete,ih,Hindi,Indo-Aryan,43.35367085212944,,,1,5,5,not_estimable_one_talker
six_reference_complete,ih,Japanese,Japonic,48.37543545950478,,,1,5,5,not_estimable_one_talker
six_reference_complete,ih,Korean,Koreanic,41.77349095712679,37.715616740658966,45.77548850380122,12,1,6,talker_bootstrap_95pct
six_reference_complete,ih,Mandarin,Sino-Tibetan,44.09733346454772,,,1,5,5,not_estimable_one_talker
six_reference_complete,ih,Romanian,Romance,35.61392584891645,,,1,4,4,not_estimable_one_talker
six_reference_complete,ih,Russian,Slavic,38.53001015789333,,,1,3,3,not_estimable_one_talker
six_reference_complete,ih,Somali,Afro-Asiatic,35.90658741595158,,,1,5,5,not_estimable_one_talker
six_reference_complete,ih,Spanish,Romance,46.99288859385894,41.5500242720993,52.76354899811253,12,3,6,talker_bootstrap_95pct
six_reference_complete,ih,Turkish,Turkic,34.74359314535027,,,1,4,4,not_estimable_one_talker
six_reference_complete,iy,Albanian,Albanian,21.12353370133808,,,1,6,6,not_estimable_one_talker
six_reference_complete,iy,Bengali,Indo-Aryan,39.4884563455205,,,1,6,6,not_estimable_one_talker
six_reference_complete,iy,Dutch,Germanic,47.396656865915894,,,1,5,5,not_estimable_one_talker
six_reference_complete,iy,French,Romance,46.9322241376876,,,1,6,6,not_estimable_one_talker
six_reference_complete,iy,German,Germanic,23.761979338992774,,,1,4,4,not_estimable_one_talker
six_reference_complete,iy,Hindi,Indo-Aryan,33.396302399426496,,,1,8,8,not_estimable_one_talker
six_reference_complete,iy,Japanese,Japonic,33.96883711268402,,,1,8,8,not_estimable_one_talker
six_reference_complete,iy,Korean,Koreanic,29.390098353616832,26.201749676548168,32.66073677929271,12,4,9,talker_bootstrap_95pct
six_reference_complete,iy,Mandarin,Sino-Tibetan,27.517706251798877,,,1,7,7,not_estimable_one_talker
six_reference_complete,iy,Romanian,Romance,39.42758324086928,,,1,8,8,not_estimable_one_talker
six_reference_complete,iy,Russian,Slavic,23.94162678641626,,,1,9,9,not_estimable_one_talker
six_reference_complete,iy,Somali,Afro-Asiatic,30.915064470446755,,,1,9,9,not_estimable_one_talker
six_reference_complete,iy,Spanish,Romance,32.657424260290085,30.409382728517595,34.88294723135099,12,6,9,talker_bootstrap_95pct
six_reference_complete,iy,Turkish,Turkic,26.663195489819447,,,1,8,8,not_estimable_one_talker
six_reference_complete,jh,Albanian,Albanian,40.22540255053507,,,1,3,3,not_estimable_one_talker
six_reference_complete,jh,Bengali,Indo-Aryan,61.00002805100496,,,1,3,3,not_estimable_one_talker
six_reference_complete,jh,Dutch,Germanic,55.98366444854827,,,1,4,4,not_estimable_one_talker
six_reference_complete,jh,French,Romance,71.41050070169409,,,1,3,3,not_estimable_one_talker
six_reference_complete,jh,German,Germanic,49.679493187180505,,,1,3,3,not_estimable_one_talker
six_reference_complete,jh,Hindi,Indo-Aryan,46.38852705582942,,,1,3,3,not_estimable_one_talker
six_reference_complete,jh,Japanese,Japonic,51.25382176258802,,,1,2,2,not_estimable_one_talker
six_reference_complete,jh,Korean,Koreanic,40.02372489542736,35.88377495267084,44.441804480407164,12,2,4,talker_bootstrap_95pct
six_reference_complete,jh,Mandarin,Sino-Tibetan,46.99972801741702,,,1,4,4,not_estimable_one_talker
six_reference_complete,jh,Romanian,Romance,41.560782515721854,,,1,4,4,not_estimable_one_talker
six_reference_complete,jh,Russian,Slavic,41.17455573927617,,,1,4,4,not_estimable_one_talker
six_reference_complete,jh,Somali,Afro-Asiatic,38.56478552344307,,,1,3,3,not_estimable_one_talker
six_reference_complete,jh,Spanish,Romance,44.95540507761485,39.944086023202665,50.543811505776915,12,3,4,talker_bootstrap_95pct
six_reference_complete,jh,Turkish,Turkic,47.4251303245022,,,1,4,4,not_estimable_one_talker
six_reference_complete,k,Albanian,Albanian,41.63072599893561,,,1,6,6,not_estimable_one_talker
six_reference_complete,k,Bengali,Indo-Aryan,41.110398742049995,,,1,6,6,not_estimable_one_talker
six_reference_complete,k,Dutch,Germanic,54.42354671945011,,,1,6,6,not_estimable_one_talker
six_reference_complete,k,French,Romance,48.34178594005987,,,1,7,7,not_estimable_one_talker
six_reference_complete,k,German,Germanic,50.74258614096364,,,1,5,5,not_estimable_one_talker
six_reference_complete,k,Hindi,Indo-Aryan,55.183776961344954,,,1,8,8,not_estimable_one_talker
six_reference_complete,k,Japanese,Japonic,51.786186783769224,,,1,8,8,not_estimable_one_talker
six_reference_complete,k,Korean,Koreanic,43.25580935453152,38.18714400650688,47.87197351138831,12,5,8,talker_bootstrap_95pct
six_reference_complete,k,Mandarin,Sino-Tibetan,36.09922270557179,,,1,8,8,not_estimable_one_talker
six_reference_complete,k,Romanian,Romance,50.87514438739531,,,1,8,8,not_estimable_one_talker
six_reference_complete,k,Russian,Slavic,72.54112931559204,,,1,7,7,not_estimable_one_talker
six_reference_complete,k,Somali,Afro-Asiatic,30.737093243903633,,,1,6,6,not_estimable_one_talker
six_reference_complete,k,Spanish,Romance,41.18757411806862,35.3131199881274,46.31384286510009,12,5,8,talker_bootstrap_95pct
six_reference_complete,k,Turkish,Turkic,36.81973589312968,,,1,8,8,not_estimable_one_talker
six_reference_complete,l,Albanian,Albanian,29.479146868255857,,,1,3,3,not_estimable_one_talker
six_reference_complete,l,Bengali,Indo-Aryan,37.375653813668286,,,1,3,3,not_estimable_one_talker
six_reference_complete,l,Dutch,Germanic,43.38966939252126,,,1,3,3,not_estimable_one_talker
six_reference_complete,l,French,Romance,35.97442207720577,,,1,3,3,not_estimable_one_talker
six_reference_complete,l,German,Germanic,27.4021445821579,,,1,3,3,not_estimable_one_talker
six_reference_complete,l,Hindi,Indo-Aryan,26.185457184217345,,,1,3,3,not_estimable_one_talker
six_reference_complete,l,Japanese,Japonic,44.06066148901765,,,1,2,2,not_estimable_one_talker
six_reference_complete,l,Korean,Koreanic,29.12002077681294,25.556637452101878,32.44172895302508,12,2,3,talker_bootstrap_95pct
six_reference_complete,l,Mandarin,Sino-Tibetan,44.78976862508435,,,1,2,2,not_estimable_one_talker
six_reference_complete,l,Romanian,Romance,54.746904892904766,,,1,2,2,not_estimable_one_talker
six_reference_complete,l,Russian,Slavic,29.6278333617779,,,1,3,3,not_estimable_one_talker
six_reference_complete,l,Somali,Afro-Asiatic,23.479369236093888,,,1,3,3,not_estimable_one_talker
six_reference_complete,l,Spanish,Romance,32.28414713222779,26.04552751654366,38.906788508550164,11,2,3,talker_bootstrap_95pct
six_reference_complete,l,Turkish,Turkic,28.146015567463124,,,1,3,3,not_estimable_one_talker
six_reference_complete,m,Albanian,Albanian,35.216270371114106,,,1,8,8,not_estimable_one_talker
six_reference_complete,m,Bengali,Indo-Aryan,37.6651045788123,,,1,6,6,not_estimable_one_talker
six_reference_complete,m,Dutch,Germanic,32.30474244424399,,,1,7,7,not_estimable_one_talker
six_reference_complete,m,French,Romance,36.775431379665946,,,1,8,8,not_estimable_one_talker
six_reference_complete,m,German,Germanic,36.3920930893881,,,1,8,8,not_estimable_one_talker
six_reference_complete,m,Hindi,Indo-Aryan,36.59008665508629,,,1,9,9,not_estimable_one_talker
six_reference_complete,m,Japanese,Japonic,38.830872249880635,,,1,9,9,not_estimable_one_talker
six_reference_complete,m,Korean,Koreanic,35.695051560110066,33.36465676973968,38.38984353814989,12,6,9,talker_bootstrap_95pct
six_reference_complete,m,Mandarin,Sino-Tibetan,39.333150341351214,,,1,8,8,not_estimable_one_talker
six_reference_complete,m,Romanian,Romance,39.77764258989673,,,1,9,9,not_estimable_one_talker
six_reference_complete,m,Russian,Slavic,40.623296941933845,,,1,8,8,not_estimable_one_talker
