dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss,fitted_condition_id
AN19,mfcc39,oof_fold,2.0,M_null,282,282,194.221840036114,0.688729929206077,AN19.Mixed.test_Korean
AN19,mfcc39,oof_fold,2.0,M_predictor,282,282,183.94184911561,0.652276060693652,AN19.Mixed.test_Korean
AN19,strf24_legacy,oof_all,,M_null,940,940,627.628905591265,0.667690325097091,AN19.Mixed.test_Korean
AN19,strf24_legacy,oof_all,,M_predictor,940,940,588.042558460244,0.625577189851324,AN19.Mixed.test_Korean
AN19,strf24_legacy,oof_fold,0.0,M_null,376,376,250.195047267253,0.665412359753332,AN19.Mixed.test_Korean
AN19,strf24_legacy,oof_fold,0.0,M_predictor,376,376,233.097540378021,0.619940266962823,AN19.Mixed.test_Korean
AN19,strf24_legacy,oof_fold,1.0,M_null,282,282,183.212018287899,0.649688008113117,AN19.Mixed.test_Korean
AN19,strf24_legacy,oof_fold,1.0,M_predictor,282,282,172.065632246119,0.610161816475601,AN19.Mixed.test_Korean
AN19,strf24_legacy,oof_fold,2.0,M_null,282,282,194.221840036114,0.688729929206077,AN19.Mixed.test_Korean
AN19,strf24_legacy,oof_fold,2.0,M_predictor,282,282,182.879385836103,0.648508460411714,AN19.Mixed.test_Korean
AN19,mfcc39,oof_all,,M_null,940,940,662.189233437807,0.704456631316816,AN19.Mixed.test_Spanish
AN19,mfcc39,oof_all,,M_predictor,940,940,619.085941846204,0.658602065793834,AN19.Mixed.test_Spanish
AN19,mfcc39,oof_fold,0.0,M_null,329,329,228.814382226649,0.695484444457901,AN19.Mixed.test_Spanish
AN19,mfcc39,oof_fold,0.0,M_predictor,329,329,230.74871256377,0.701363867974984,AN19.Mixed.test_Spanish
AN19,mfcc39,oof_fold,1.0,M_null,282,282,200.460629083788,0.710853294623363,AN19.Mixed.test_Spanish
AN19,mfcc39,oof_fold,1.0,M_predictor,282,282,175.432804768723,0.62210214456994,AN19.Mixed.test_Spanish
AN19,mfcc39,oof_fold,2.0,M_null,329,329,232.914222127369,0.707945963912977,AN19.Mixed.test_Spanish
AN19,mfcc39,oof_fold,2.0,M_predictor,329,329,212.904424513711,0.647125910376022,AN19.Mixed.test_Spanish
AN19,strf24_legacy,oof_all,,M_null,940,940,662.576197180157,0.704868294872507,AN19.Mixed.test_Spanish
AN19,strf24_legacy,oof_all,,M_predictor,940,940,608.955955775828,0.647825484867902,AN19.Mixed.test_Spanish
AN19,strf24_legacy,oof_fold,0.0,M_null,329,329,228.814382226649,0.695484444457901,AN19.Mixed.test_Spanish
AN19,strf24_legacy,oof_fold,0.0,M_predictor,329,329,218.657483935657,0.66461241317829,AN19.Mixed.test_Spanish
AN19,strf24_legacy,oof_fold,1.0,M_null,282,282,200.847592826138,0.712225506475668,AN19.Mixed.test_Spanish
AN19,strf24_legacy,oof_fold,1.0,M_predictor,282,282,173.264419235991,0.61441283417018,AN19.Mixed.test_Spanish
AN19,strf24_legacy,oof_fold,2.0,M_null,329,329,232.914222127369,0.707945963912977,AN19.Mixed.test_Spanish
AN19,strf24_legacy,oof_fold,2.0,M_predictor,329,329,217.03405260418,0.659677971441276,AN19.Mixed.test_Spanish
AN19,mfcc39,oof_all,,M_null,950,950,646.33736323052,0.680355119190021,AN19.Spanish.test_Korean
AN19,mfcc39,oof_all,,M_predictor,950,950,632.88098346959,0.666190508915358,AN19.Spanish.test_Korean
AN19,mfcc39,oof_fold,0.0,M_null,237,237,164.435599319008,0.693821094173028,AN19.Spanish.test_Korean
AN19,mfcc39,oof_fold,0.0,M_predictor,237,237,156.482413606545,0.660263348550824,AN19.Spanish.test_Korean
AN19,mfcc39,oof_fold,1.0,M_null,380,380,276.054330143552,0.726458763535664,AN19.Spanish.test_Korean
AN19,mfcc39,oof_fold,1.0,M_predictor,380,380,281.628389365543,0.741127340435638,AN19.Spanish.test_Korean
AN19,mfcc39,oof_fold,2.0,M_null,333,333,205.84743376796,0.618160461765646,AN19.Spanish.test_Korean
AN19,mfcc39,oof_fold,2.0,M_predictor,333,333,194.770180497503,0.584895436929437,AN19.Spanish.test_Korean
AN19,strf24_legacy,oof_all,,M_null,950,950,646.33736323052,0.680355119190021,AN19.Spanish.test_Korean
AN19,strf24_legacy,oof_all,,M_predictor,950,950,620.780065748809,0.653452700788219,AN19.Spanish.test_Korean
AN19,strf24_legacy,oof_fold,0.0,M_null,237,237,164.435599319008,0.693821094173028,AN19.Spanish.test_Korean
AN19,strf24_legacy,oof_fold,0.0,M_predictor,237,237,159.710294162674,0.673883097732803,AN19.Spanish.test_Korean
AN19,strf24_legacy,oof_fold,1.0,M_null,380,380,276.054330143552,0.726458763535664,AN19.Spanish.test_Korean
AN19,strf24_legacy,oof_fold,1.0,M_predictor,380,380,274.308066618571,0.721863333206766,AN19.Spanish.test_Korean
AN19,strf24_legacy,oof_fold,2.0,M_null,333,333,205.84743376796,0.618160461765646,AN19.Spanish.test_Korean
AN19,strf24_legacy,oof_fold,2.0,M_predictor,333,333,186.761704967563,0.560845960863553,AN19.Spanish.test_Korean
AN19,mfcc39,oof_all,,M_null,950,950,660.142311980559,0.694886644190062,AN19.Spanish.test_Spanish
AN19,mfcc39,oof_all,,M_predictor,950,950,677.03972725839,0.712673397114094,AN19.Spanish.test_Spanish
AN19,mfcc39,oof_fold,0.0,M_null,332,332,230.190124189721,0.6933437475594,AN19.Spanish.test_Spanish
AN19,mfcc39,oof_fold,0.0,M_predictor,332,332,241.006045787832,0.725921824662145,AN19.Spanish.test_Spanish
AN19,mfcc39,oof_fold,1.0,M_null,285,285,199.00418116165,0.69826028477772,AN19.Spanish.test_Spanish
AN19,mfcc39,oof_fold,1.0,M_predictor,285,285,205.808975094135,0.722136754716262,AN19.Spanish.test_Spanish
AN19,mfcc39,oof_fold,2.0,M_null,333,333,230.948006629188,0.693537557445009,AN19.Spanish.test_Spanish
AN19,mfcc39,oof_fold,2.0,M_predictor,333,333,230.224706376423,0.691365484613882,AN19.Spanish.test_Spanish
AN19,strf24_legacy,oof_all,,M_null,950,950,660.142311980559,0.694886644190062,AN19.Spanish.test_Spanish
AN19,strf24_legacy,oof_all,,M_predictor,950,950,641.520518649786,0.675284756473459,AN19.Spanish.test_Spanish
AN19,strf24_legacy,oof_fold,0.0,M_null,332,332,230.190124189721,0.6933437475594,AN19.Spanish.test_Spanish
AN19,strf24_legacy,oof_fold,0.0,M_predictor,332,332,235.607023371802,0.709659708951211,AN19.Spanish.test_Spanish
AN19,strf24_legacy,oof_fold,1.0,M_null,285,285,199.00418116165,0.69826028477772,AN19.Spanish.test_Spanish
AN19,strf24_legacy,oof_fold,1.0,M_predictor,285,285,209.989842024681,0.736806463244496,AN19.Spanish.test_Spanish
AN19,strf24_legacy,oof_fold,2.0,M_null,333,333,230.948006629188,0.693537557445009,AN19.Spanish.test_Spanish
AN19,strf24_legacy,oof_fold,2.0,M_predictor,333,333,195.923653253302,0.588359319078986,AN19.Spanish.test_Spanish
