dataset_id,feature_key,model_id,formula,optimizer,random_structure,structure_reason,n_rows,total_trials,fit_ok,singular,convergence,warnings,error,log_likelihood,deviance,AIC,n_observations,analysis_id,family,variant,selection_stratum,selection_oof_mean_log_loss,model_directory
AN19,tr_10,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + outer_fold + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,5685,5685,True,False,ok,,,-2157.87522302394,3519.61533496956,4329.75044604787,5685,AN19-SBI-ft-tr-10,SBI,ft,selected_hubert_layer,0.636032774020209,models\AN19-SBI-ft-tr-10
AN19,tr_10,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + outer_fold + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,5685,5685,True,False,ok,,,-2149.56196100187,3525.52680370396,4323.12392200375,5685,AN19-SBI-ft-tr-10,SBI,ft,selected_hubert_layer,0.636032774020209,models\AN19-SBI-ft-tr-10
B23,tr_6::overall_order_sensitive,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,5820,31234,True,False,ok,,,-8441.8504227494,10691.6492195968,16913.7008454988,5820,B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive,HVE,base,global_order_97_participants,0.568654114048756,models\B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive
B23,tr_6::overall_order_sensitive,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,5820,31234,True,False,ok,,,-8443.90035599309,10691.3975047235,16905.8007119862,5820,B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive,HVE,base,global_order_97_participants,0.568654114048756,models\B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive
B23,tr_6::overall_order_sensitive,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,5820,31234,True,False,ok,,,-8438.78395975703,10691.8828695306,16909.5679195141,5820,B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive,HVE,base,global_order_97_participants,0.568654114048756,models\B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive
B23,tr_12::between_type_sentence,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,10080,54096,True,False,ok,,,-14865.8376770695,19186.7283829847,29761.6753541391,10080,B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence,HVE,base,order_independent_168_participants,0.567963359328044,models\B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence
B23,tr_12::between_type_sentence,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,10080,54096,True,False,ok,,,-14866.3836730875,19186.69984528,29750.767346175,10080,B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence,HVE,base,order_independent_168_participants,0.567963359328044,models\B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence
B23,tr_12::between_type_sentence,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,10080,54096,True,False,ok,,,-14862.307861318,19187.0481820919,29756.6157226359,10080,B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence,HVE,base,order_independent_168_participants,0.567963359328044,models\B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence
B23,tr_20::overall_order_sensitive,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,5820,31234,True,False,ok,,,-8441.8504227494,10691.6492195968,16913.7008454988,5820,B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive,HVE,ft,global_order_97_participants,0.568186345942328,models\B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive
B23,tr_20::overall_order_sensitive,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,5820,31234,True,False,ok,,,-8444.69932941047,10691.3433511609,16907.3986588209,5820,B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive,HVE,ft,global_order_97_participants,0.568186345942328,models\B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive
B23,tr_20::overall_order_sensitive,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,5820,31234,True,False,ok,,,-8439.79948440816,10691.834333383,16911.5989688163,5820,B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive,HVE,ft,global_order_97_participants,0.568186345942328,models\B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive
B23,tr_4::between_type_sentence,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,10080,54096,True,False,ok,,,-14865.8376770695,19186.7283829847,29761.6753541391,10080,B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence,HVE,ft,order_independent_168_participants,0.568003411213627,models\B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence
B23,tr_4::between_type_sentence,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,10080,54096,True,False,ok,,,-14866.0427084438,19186.6983916548,29750.0854168875,10080,B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence,HVE,ft,order_independent_168_participants,0.568003411213627,models\B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence
B23,tr_4::between_type_sentence,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,10080,54096,True,False,ok,,,-14862.7868087754,19187.0097723801,29757.5736175507,10080,B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence,HVE,ft,order_independent_168_participants,0.568003411213627,models\B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence
B23,tr_24,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,10080,54096,True,False,ok,,,-14865.8376770695,19186.7283829847,29761.6753541391,10080,B23-SBI-base-tr-24,SBI,base,selected_hubert_layer,0.568779658317399,models\B23-SBI-base-tr-24
B23,tr_24,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,10080,54096,True,False,ok,,,-14867.6051335022,19183.3316285973,29753.2102670043,10080,B23-SBI-base-tr-24,SBI,base,selected_hubert_layer,0.568779658317399,models\B23-SBI-base-tr-24
B23,tr_24,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,10080,54096,True,False,ok,,,-14864.1809126473,19183.73139215,29760.3618252946,10080,B23-SBI-base-tr-24,SBI,base,selected_hubert_layer,0.568779658317399,models\B23-SBI-base-tr-24
B23,tr_20,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,10080,54096,True,False,ok,,,-14865.8376770695,19186.7283829847,29761.6753541391,10080,B23-SBI-ft-tr-20,SBI,ft,selected_hubert_layer,0.569008063509715,models\B23-SBI-ft-tr-20
B23,tr_20,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,10080,54096,True,False,ok,,,-14867.5989135685,19183.0212923423,29753.1978271369,10080,B23-SBI-ft-tr-20,SBI,ft,selected_hubert_layer,0.569008063509715,models\B23-SBI-ft-tr-20
B23,tr_20,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,10080,54096,True,False,ok,,,-14864.1612057117,19183.4262970205,29760.3224114233,10080,B23-SBI-ft-tr-20,SBI,ft,selected_hubert_layer,0.569008063509715,models\B23-SBI-ft-tr-20
X21,cnn_6::order_word,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,16477,16477,True,False,ok,,,-5484.31138836264,9033.75786082986,10990.6227767253,16477,X21-HVE-base-all-exposure-participants-cnn-6--order-word,HVE,base,all_exposure_participants,0.488145038439055,models\X21-HVE-base-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,16477,16477,True,False,ok,,,-5487.94646614599,9032.78387658981,10993.892932292,16477,X21-HVE-base-all-exposure-participants-cnn-6--order-word,HVE,base,all_exposure_participants,0.488145038439055,models\X21-HVE-base-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,16477,16477,True,False,ok,,,-5482.44223930174,9033.66670682151,10988.8844786035,16477,X21-HVE-base-all-exposure-participants-cnn-6--order-word,HVE,base,all_exposure_participants,0.488145038439055,models\X21-HVE-base-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,16477,16477,True,False,ok,,,-5484.31138836264,9033.75786082986,10990.6227767253,16477,X21-HVE-ft-all-exposure-participants-cnn-6--order-word,HVE,ft,all_exposure_participants,0.488145038439055,models\X21-HVE-ft-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,16477,16477,True,False,ok,,,-5487.94646614599,9032.78387658981,10993.892932292,16477,X21-HVE-ft-all-exposure-participants-cnn-6--order-word,HVE,ft,all_exposure_participants,0.488145038439055,models\X21-HVE-ft-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,16477,16477,True,False,ok,,,-5482.44223930174,9033.66670682151,10988.8844786035,16477,X21-HVE-ft-all-exposure-participants-cnn-6--order-word,HVE,ft,all_exposure_participants,0.488145038439055,models\X21-HVE-ft-all-exposure-participants-cnn-6--order-word
X21,tr_14,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,16477,16477,True,False,ok,,,-5484.31138836264,9033.75786082986,10990.6227767253,16477,X21-SBI-base-tr-14,SBI,base,selected_hubert_layer,0.482788193252165,models\X21-SBI-base-tr-14
X21,tr_14,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,16477,16477,True,False,ok,,,-5491.55408016013,9044.75681080879,11001.1081603203,16477,X21-SBI-base-tr-14,SBI,base,selected_hubert_layer,0.482788193252165,models\X21-SBI-base-tr-14
X21,tr_14,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,16477,16477,True,False,ok,,,-5481.05257142511,9039.02339461476,10986.1051428502,16477,X21-SBI-base-tr-14,SBI,base,selected_hubert_layer,0.482788193252165,models\X21-SBI-base-tr-14
X21,tr_22,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,16477,16477,True,False,ok,,,-5484.31138836264,9033.75786082986,10990.6227767253,16477,X21-SBI-ft-tr-22,SBI,ft,selected_hubert_layer,0.483093297404871,models\X21-SBI-ft-tr-22
X21,tr_22,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,16477,16477,True,False,ok,,,-5495.7784532688,9044.62261669515,11009.5569065376,16477,X21-SBI-ft-tr-22,SBI,ft,selected_hubert_layer,0.483093297404871,models\X21-SBI-ft-tr-22
X21,tr_22,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,primary registered structure accepted,16477,16477,True,False,ok,,,-5481.90868876226,9040.95904040849,10987.8173775245,16477,X21-SBI-ft-tr-22,SBI,ft,selected_hubert_layer,0.483093297404871,models\X21-SBI-ft-tr-22
