dataset_id,feature_key,scope,fold,model_id,formula,optimizer,random_structure,random_policy,selection_reason,n_rows,fit_ok,singular,convergence,warnings,error,log_likelihood,deviance,AIC,n_observations
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5794.73116314019,7171.96395185886,11601.4623262804,4080
B23,cnn_2::overall_order_sensitive,cv_train,2.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5794.68541511104,7171.97085629065,11603.3708302221,4080
B23,cnn_2::overall_order_sensitive,full,,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8441.85602510987,10691.6486376745,16909.7120502197,5820
B23,cnn_2::overall_order_sensitive,full,,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8441.84796826945,10691.6549272429,16911.6959365389,5820
B23,cnn_2::overall_order_sensitive,full,,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8445.5077652595,10691.2663345072,16903.015530519,5820
B23,cnn_2::overall_order_sensitive,full,,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8445.5062402084,10691.265525051,16905.0124804168,5820
B23,cnn_3::overall_order_sensitive,cv_train,0.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5788.42466098099,7347.95410491925,11602.849321962,3900
B23,cnn_3::overall_order_sensitive,cv_train,0.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5788.39372542622,7347.96817092272,11604.7874508524,3900
B23,cnn_3::overall_order_sensitive,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5797.63237502041,7346.96291579565,11607.2647500408,3900
B23,cnn_3::overall_order_sensitive,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5795.70955187413,7347.12021320415,11605.4191037483,3900
B23,cnn_3::overall_order_sensitive,cv_train,1.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5376.60973095219,6773.30232569868,10779.2194619044,3660
B23,cnn_3::overall_order_sensitive,cv_train,1.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5375.61592976638,6773.37054588323,10779.2318595328,3660
B23,cnn_3::overall_order_sensitive,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5377.84839012308,6773.17480228158,10767.6967802462,3660
B23,cnn_3::overall_order_sensitive,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5377.73268051388,6773.18081735497,10769.4653610278,3660
B23,cnn_3::overall_order_sensitive,cv_train,2.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5793.26836821625,7172.12121420141,11612.5367364325,4080
B23,cnn_3::overall_order_sensitive,cv_train,2.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5793.26510507372,7172.12153030028,11614.5302101474,4080
B23,cnn_3::overall_order_sensitive,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5794.73116314019,7171.96395185886,11601.4623262804,4080
B23,cnn_3::overall_order_sensitive,cv_train,2.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5794.71236138154,7171.9629011824,11603.4247227631,4080
B23,cnn_3::overall_order_sensitive,full,,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8441.85602510987,10691.6486376745,16909.7120502197,5820
B23,cnn_3::overall_order_sensitive,full,,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8441.61567149976,10691.6734857673,16911.2313429995,5820
B23,cnn_3::overall_order_sensitive,full,,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8445.5077652595,10691.2663345072,16903.015530519,5820
B23,cnn_3::overall_order_sensitive,full,,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8445.01072109437,10691.2938982495,16904.0214421887,5820
B23,cnn_4::overall_order_sensitive,cv_train,0.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5788.42466098099,7347.95410491925,11602.849321962,3900
B23,cnn_4::overall_order_sensitive,cv_train,0.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5787.8917518803,7348.04398690554,11603.7835037606,3900
B23,cnn_4::overall_order_sensitive,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5797.63237502041,7346.96291579565,11607.2647500408,3900
B23,cnn_4::overall_order_sensitive,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5796.68475624315,7347.03275102237,11607.3695124863,3900
B23,cnn_4::overall_order_sensitive,cv_train,1.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5376.60973095219,6773.30232569868,10779.2194619044,3660
B23,cnn_4::overall_order_sensitive,cv_train,1.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5375.68161769458,6773.34598033033,10779.3632353892,3660
B23,cnn_4::overall_order_sensitive,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5377.84839012308,6773.17480228158,10767.6967802462,3660
B23,cnn_4::overall_order_sensitive,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5377.80784012035,6773.1763688466,10769.6156802407,3660
B23,cnn_4::overall_order_sensitive,cv_train,2.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5793.26836821625,7172.12121420141,11612.5367364325,4080
B23,cnn_4::overall_order_sensitive,cv_train,2.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5793.18694109452,7172.12278362484,11614.373882189,4080
B23,cnn_4::overall_order_sensitive,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5794.73116314019,7171.96395185886,11601.4623262804,4080
B23,cnn_4::overall_order_sensitive,cv_train,2.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5794.72967292096,7171.96374524839,11603.4593458419,4080
B23,cnn_4::overall_order_sensitive,full,,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8441.85602510987,10691.6486376745,16909.7120502197,5820
B23,cnn_4::overall_order_sensitive,full,,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8441.27292107256,10691.6878519799,16910.5458421451,5820
B23,cnn_4::overall_order_sensitive,full,,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8445.5077652595,10691.2663345072,16903.015530519,5820
B23,cnn_4::overall_order_sensitive,full,,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8445.30151225763,10691.277038268,16904.6030245153,5820
B23,cnn_5::overall_order_sensitive,cv_train,0.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5788.42466098099,7347.95410491925,11602.849321962,3900
B23,cnn_5::overall_order_sensitive,cv_train,0.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5787.96441655152,7348.00772587984,11603.928833103,3900
B23,cnn_5::overall_order_sensitive,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5797.63237502041,7346.96291579565,11607.2647500408,3900
B23,cnn_5::overall_order_sensitive,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5796.86980862877,7347.03851056879,11607.7396172575,3900
B23,cnn_5::overall_order_sensitive,cv_train,1.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5376.60973095219,6773.30232569868,10779.2194619044,3660
B23,cnn_5::overall_order_sensitive,cv_train,1.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5374.2223108997,6773.45842720275,10776.4446217994,3660
B23,cnn_5::overall_order_sensitive,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5377.84839012308,6773.17480228158,10767.6967802462,3660
B23,cnn_5::overall_order_sensitive,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5377.8157143763,6773.17926827896,10769.6314287526,3660
B23,cnn_5::overall_order_sensitive,cv_train,2.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5793.26836821625,7172.12121420141,11612.5367364325,4080
B23,cnn_5::overall_order_sensitive,cv_train,2.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5793.25666184659,7172.11985290182,11614.5133236932,4080
B23,cnn_5::overall_order_sensitive,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5794.73116314019,7171.96395185886,11601.4623262804,4080
B23,cnn_5::overall_order_sensitive,cv_train,2.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5794.72317945459,7171.96701278662,11603.4463589092,4080
B23,cnn_5::overall_order_sensitive,full,,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8441.85602510987,10691.6486376745,16909.7120502197,5820
B23,cnn_5::overall_order_sensitive,full,,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8441.71643503038,10691.6567559855,16911.4328700608,5820
B23,cnn_5::overall_order_sensitive,full,,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8445.5077652595,10691.2663345072,16903.015530519,5820
B23,cnn_5::overall_order_sensitive,full,,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8445.32282987126,10691.2902284718,16904.6456597425,5820
B23,cnn_6::overall_order_sensitive,cv_train,0.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5788.42466098099,7347.95410491925,11602.849321962,3900
B23,cnn_6::overall_order_sensitive,cv_train,0.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5788.33392546908,7347.97444856084,11604.6678509382,3900
B23,cnn_6::overall_order_sensitive,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5797.63237502041,7346.96291579565,11607.2647500408,3900
B23,cnn_6::overall_order_sensitive,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5796.82353310279,7347.04057603143,11607.6470662056,3900
B23,cnn_6::overall_order_sensitive,cv_train,1.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5376.60973095219,6773.30232569868,10779.2194619044,3660
B23,cnn_6::overall_order_sensitive,cv_train,1.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5374.76333816306,6773.39725958061,10777.5266763261,3660
B23,cnn_6::overall_order_sensitive,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5377.84839012308,6773.17480228158,10767.6967802462,3660
B23,cnn_6::overall_order_sensitive,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3660,True,False,ok,,,-5377.76327959419,6773.18371052724,10769.5265591884,3660
B23,cnn_6::overall_order_sensitive,cv_train,2.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5793.26836821625,7172.12121420141,11612.5367364325,4080
B23,cnn_6::overall_order_sensitive,cv_train,2.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5793.19976039152,7172.12079657654,11614.399520783,4080
B23,cnn_6::overall_order_sensitive,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5794.73116314019,7171.96395185886,11601.4623262804,4080
B23,cnn_6::overall_order_sensitive,cv_train,2.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,4080,True,False,ok,,,-5794.71550223955,7171.96810114512,11603.4310044791,4080
B23,cnn_6::overall_order_sensitive,full,,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8441.85602510987,10691.6486376745,16909.7120502197,5820
B23,cnn_6::overall_order_sensitive,full,,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",nloptwrap,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,"Model failed to converge with max|grad| = 0.00712462 (tol = 0.002, component 1)","Model failed to converge with max|grad| = 0.00712462 (tol = 0.002, component 1)",,-8441.38711273651,10691.6788893393,16910.774225473,5820
B23,cnn_6::overall_order_sensitive,full,,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8445.5077652595,10691.2663345072,16903.015530519,5820
B23,cnn_6::overall_order_sensitive,full,,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,5820,True,False,ok,,,-8445.25533779912,10691.2954071428,16904.5106755982,5820
B23,tr_0::overall_order_sensitive,cv_train,0.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5788.42466098099,7347.95410491925,11602.849321962,3900
B23,tr_0::overall_order_sensitive,cv_train,0.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,3900,True,False,ok,,,-5786.94447549708,7348.16800219145,11601.8889509942,3900
