dataset_id,variant,layer,figure_kind,output_file,source_file,source_sha256
X21,base,tr_24,x21_s_curves_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\X21_base_x21_s_curves_pooled.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\X21-base-tr24-notebook-s-curves-legacy-axis-z-v5\x21_s_curves_pooled.png,256275a6675aed3d09c6947837dc6a84aa14941d9f5a81339eaf9a1f1ce5ce9b
X21,base,tr_24,x21_s_curves_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\X21_base_x21_s_curves_pooled.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\X21-base-tr24-notebook-s-curves-legacy-axis-z-v5\x21_s_curves_pooled.svg,25d168b93d4dff6be3081b0a2b42865465c458b4bef3105f1568de8a3fecc48b
B23,base,tr_24,b23_s_curves_by_condition,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\B23_base_b23_s_curves_by_condition.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\B23-base-tr24-notebook-s-curves-notebook-folds-v4\b23_s_curves_by_condition.png,91f6f9c351e25283fbc6ae28517aa86c6cd2974da6253db93e869cde04bc44bf
B23,base,tr_24,b23_s_curves_by_condition,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\B23_base_b23_s_curves_by_condition.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\B23-base-tr24-notebook-s-curves-notebook-folds-v4\b23_s_curves_by_condition.svg,8ceaf11a45d8d02f09a513e57acfeac9c0cd01f653a30767978d6ce102d8d089
B23,base,tr_24,b23_s_curves_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\B23_base_b23_s_curves_pooled.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\B23-base-tr24-notebook-s-curves-notebook-folds-v4\b23_s_curves_pooled.png,076b676213c096c1c46f84b11aa418ab1f1a11d1db98535c6fe465e328798c1d
B23,base,tr_24,b23_s_curves_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\B23_base_b23_s_curves_pooled.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\B23-base-tr24-notebook-s-curves-notebook-folds-v4\b23_s_curves_pooled.svg,d987f4fcbf5020c4191db06adbb75da3333f73dbf466fe7a07a6fe67688abfa0
AN19,ft,tr_24,an19_s_curves_24_test_talkers,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_ft_an19_s_curves_24_test_talkers.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-ft-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_24_test_talkers.png,c1e596f30812211fcaaea8ef5f643329d24a3048a9ce089a91676a1f77f63fc0
AN19,ft,tr_24,an19_s_curves_24_test_talkers,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_ft_an19_s_curves_24_test_talkers.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-ft-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_24_test_talkers.svg,a87e7434af0a50bf3872cf842c765a53ad5d3f8ac29873695650489d9639e7df
AN19,ft,tr_24,an19_s_curves_24_test_talkers_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_ft_an19_s_curves_24_test_talkers_pooled.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-ft-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_24_test_talkers_pooled.png,c164532ebef23ca88c2c662a32073c02eafdd70e337b3f44ddbfc9baf85183a5
AN19,ft,tr_24,an19_s_curves_24_test_talkers_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_ft_an19_s_curves_24_test_talkers_pooled.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-ft-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_24_test_talkers_pooled.svg,83795f1c6185d07bedceca67186b8a2fb8fc82e46b445465059af8b370b3be4e
AN19,ft,tr_24,an19_s_curves_by_test_accent,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_ft_an19_s_curves_by_test_accent.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-ft-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_by_test_accent.png,135ac452299182fc832703dc74b616a4cc81675274743dd7b81d7356fede090a
AN19,ft,tr_24,an19_s_curves_by_test_accent,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_ft_an19_s_curves_by_test_accent.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-ft-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_by_test_accent.svg,451bd7db8a7b6129a44284a97044250e64bf15fc9f809d1b17506f25df50b86d
AN19,ft,tr_24,an19_s_curves_by_test_accent_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_ft_an19_s_curves_by_test_accent_pooled.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-ft-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_by_test_accent_pooled.png,17a3507cf820557b0788347cba4c31674220cc3472712851ea785ecb29fac164
AN19,ft,tr_24,an19_s_curves_by_test_accent_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\AN19_ft_an19_s_curves_by_test_accent_pooled.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\AN19-ft-tr24-notebook-s-curves-notebook-folds-v2\an19_s_curves_by_test_accent_pooled.svg,9f9ff66cae9caee5c3e7645ab537e9e83fbeeb63dca0e40cbf1b1f2fb6296324
X21,ft,tr_24,x21_s_curves_by_condition,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\X21_ft_x21_s_curves_by_condition.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\X21-ft-tr24-notebook-s-curves-legacy-axis-z-v5\x21_s_curves_by_condition.png,264a3bcbbcc07df899af0bce8e5d5a287f5f198efe357ecec069d15d82dceb02
X21,ft,tr_24,x21_s_curves_by_condition,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\X21_ft_x21_s_curves_by_condition.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\X21-ft-tr24-notebook-s-curves-legacy-axis-z-v5\x21_s_curves_by_condition.svg,7b68ea21df14a041c8ba6e10fb4d98997f9294c542de9a5a028f617e0aa13215
X21,ft,tr_24,x21_s_curves_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\X21_ft_x21_s_curves_pooled.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\X21-ft-tr24-notebook-s-curves-legacy-axis-z-v5\x21_s_curves_pooled.png,ff5b3efc732edd846a733f49710c6bf683c6c784c374454b304d44c38dbc48ab
X21,ft,tr_24,x21_s_curves_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\X21_ft_x21_s_curves_pooled.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\X21-ft-tr24-notebook-s-curves-legacy-axis-z-v5\x21_s_curves_pooled.svg,e29f0030bb69ba2f2d9040feefdee6b18f32d08fcb3e89e08b7418afacfe9864
B23,ft,tr_24,b23_s_curves_by_condition,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\B23_ft_b23_s_curves_by_condition.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\B23-ft-tr24-notebook-s-curves-notebook-folds-v4\b23_s_curves_by_condition.png,3eeccead0671c4afc32b2e03ed6e3141c096d0e35f793006ca212c480c8e0c3f
B23,ft,tr_24,b23_s_curves_by_condition,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\B23_ft_b23_s_curves_by_condition.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\B23-ft-tr24-notebook-s-curves-notebook-folds-v4\b23_s_curves_by_condition.svg,590330937d94e1088cfcf26cdf9a7dba8af104ded1b0da37f52ea55cece77641
B23,ft,tr_24,b23_s_curves_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\B23_ft_b23_s_curves_pooled.png,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\B23-ft-tr24-notebook-s-curves-notebook-folds-v4\b23_s_curves_pooled.png,ee059d96efdf9778ae1f40815fa04e563bf37d91edbf8d3b278232791b4d0f7b
B23,ft,tr_24,b23_s_curves_pooled,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\final_report_2026-08-21\figures\s_curves_tr24\B23_ft_b23_s_curves_pooled.svg,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\figures\B23-ft-tr24-notebook-s-curves-notebook-folds-v4\b23_s_curves_pooled.svg,34d678acf533975abfa2640c1658ba2268c1a4369e076852e75743de62675af1
