dataset_id,feature_key,held_out_fold,n_training_rows,n_held_out_rows,training_mean,training_sd,analysis_id,family,variant,selection_stratum,selection_oof_mean_log_loss,model_directory
AN19,tr_10,1,3790,1895,11.7792946555827,5.56319384013288,AN19-SBI-ft-tr-10,SBI,ft,selected_hubert_layer,0.636032774020209,models\AN19-SBI-ft-tr-10
AN19,tr_10,2,3789,1896,11.7877717719019,5.52248097155207,AN19-SBI-ft-tr-10,SBI,ft,selected_hubert_layer,0.636032774020209,models\AN19-SBI-ft-tr-10
B23,tr_6::overall_order_sensitive,0,3900,1920,313.135404869488,13.7263960173871,B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive,HVE,base,global_order_97_participants,0.568654114048756,models\B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive
B23,tr_6::overall_order_sensitive,1,3660,2160,312.455883072943,13.9405599574649,B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive,HVE,base,global_order_97_participants,0.568654114048756,models\B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive
B23,tr_6::overall_order_sensitive,2,4080,1740,314.106607996924,13.1372915990294,B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive,HVE,base,global_order_97_participants,0.568654114048756,models\B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive
B23,tr_12::between_type_sentence,0,6720,3360,55.1661910895491,4.32522740543427,B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence,HVE,base,order_independent_168_participants,0.567963359328044,models\B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence
B23,tr_12::between_type_sentence,1,6720,3360,55.1741091927987,4.32279056937508,B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence,HVE,base,order_independent_168_participants,0.567963359328044,models\B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence
B23,tr_12::between_type_sentence,2,6720,3360,55.1149085468523,4.37314789265768,B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence,HVE,base,order_independent_168_participants,0.567963359328044,models\B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence
B23,tr_20::overall_order_sensitive,0,3900,1920,219.452305763534,6.7117185300182,B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive,HVE,ft,global_order_97_participants,0.568186345942328,models\B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive
B23,tr_20::overall_order_sensitive,1,3660,2160,219.718239257746,6.79043706499326,B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive,HVE,ft,global_order_97_participants,0.568186345942328,models\B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive
B23,tr_20::overall_order_sensitive,2,4080,1740,218.733544811901,6.40309997960106,B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive,HVE,ft,global_order_97_participants,0.568186345942328,models\B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive
B23,tr_4::between_type_sentence,0,6720,3360,48.328162501414,4.65574121496955,B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence,HVE,ft,order_independent_168_participants,0.568003411213627,models\B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence
B23,tr_4::between_type_sentence,1,6720,3360,48.3376743427351,4.65568965036882,B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence,HVE,ft,order_independent_168_participants,0.568003411213627,models\B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence
B23,tr_4::between_type_sentence,2,6720,3360,48.2333683017672,4.74737279984344,B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence,HVE,ft,order_independent_168_participants,0.568003411213627,models\B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence
B23,tr_24,0,6720,3360,6.89172065872594,4.17092253406283,B23-SBI-base-tr-24,SBI,base,selected_hubert_layer,0.568779658317399,models\B23-SBI-base-tr-24
B23,tr_24,1,6720,3360,6.8909037918569,4.19265193764512,B23-SBI-base-tr-24,SBI,base,selected_hubert_layer,0.568779658317399,models\B23-SBI-base-tr-24
B23,tr_24,2,6720,3360,6.89906079343797,4.2289923236872,B23-SBI-base-tr-24,SBI,base,selected_hubert_layer,0.568779658317399,models\B23-SBI-base-tr-24
B23,tr_20,0,6720,3360,2.84027951246128,2.15922719431791,B23-SBI-ft-tr-20,SBI,ft,selected_hubert_layer,0.569008063509715,models\B23-SBI-ft-tr-20
B23,tr_20,1,6720,3360,2.84105596165505,2.16420735509722,B23-SBI-ft-tr-20,SBI,ft,selected_hubert_layer,0.569008063509715,models\B23-SBI-ft-tr-20
B23,tr_20,2,6720,3360,2.84340902202809,2.17932751045481,B23-SBI-ft-tr-20,SBI,ft,selected_hubert_layer,0.569008063509715,models\B23-SBI-ft-tr-20
X21,cnn_6::order_word,0,10969,5508,448.972412910599,53.2987321958115,X21-HVE-base-all-exposure-participants-cnn-6--order-word,HVE,base,all_exposure_participants,0.488145038439055,models\X21-HVE-base-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,1,10974,5503,449.591960809788,51.872220076631,X21-HVE-base-all-exposure-participants-cnn-6--order-word,HVE,base,all_exposure_participants,0.488145038439055,models\X21-HVE-base-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,2,11011,5466,450.274734898495,51.0290120507537,X21-HVE-base-all-exposure-participants-cnn-6--order-word,HVE,base,all_exposure_participants,0.488145038439055,models\X21-HVE-base-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,0,10969,5508,448.972412910599,53.2987321958115,X21-HVE-ft-all-exposure-participants-cnn-6--order-word,HVE,ft,all_exposure_participants,0.488145038439055,models\X21-HVE-ft-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,1,10974,5503,449.591960809788,51.872220076631,X21-HVE-ft-all-exposure-participants-cnn-6--order-word,HVE,ft,all_exposure_participants,0.488145038439055,models\X21-HVE-ft-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,2,11011,5466,450.274734898495,51.0290120507537,X21-HVE-ft-all-exposure-participants-cnn-6--order-word,HVE,ft,all_exposure_participants,0.488145038439055,models\X21-HVE-ft-all-exposure-participants-cnn-6--order-word
X21,tr_14,0,10969,5508,6.78801947471562,5.99128348460118,X21-SBI-base-tr-14,SBI,base,selected_hubert_layer,0.482788193252165,models\X21-SBI-base-tr-14
X21,tr_14,1,10974,5503,6.68610386611072,5.97902331281085,X21-SBI-base-tr-14,SBI,base,selected_hubert_layer,0.482788193252165,models\X21-SBI-base-tr-14
X21,tr_14,2,11011,5466,6.79435473633616,5.99425278909443,X21-SBI-base-tr-14,SBI,base,selected_hubert_layer,0.482788193252165,models\X21-SBI-base-tr-14
X21,tr_22,0,10969,5508,3.57250745354006,4.33476641476305,X21-SBI-ft-tr-22,SBI,ft,selected_hubert_layer,0.483093297404871,models\X21-SBI-ft-tr-22
X21,tr_22,1,10974,5503,3.50094734153238,4.33382673313891,X21-SBI-ft-tr-22,SBI,ft,selected_hubert_layer,0.483093297404871,models\X21-SBI-ft-tr-22
X21,tr_22,2,11011,5466,3.54876822220745,4.43066835741962,X21-SBI-ft-tr-22,SBI,ft,selected_hubert_layer,0.483093297404871,models\X21-SBI-ft-tr-22
