layer,measure,reason
tr_0,between_type_sentence,unsupported_or_no_exposure
tr_0,between_type_phoneme,unsupported_or_no_exposure
tr_0,order_sentence,unsupported_or_no_exposure
tr_0,order_phoneme,unsupported_or_no_exposure
tr_0,mean_dissimilarity_sentence,unsupported_or_no_exposure
tr_0,mean_dissimilarity_phoneme,unsupported_or_no_exposure
tr_2,within_token_sentence,unsupported_or_no_exposure
tr_2,within_token_phoneme,unsupported_or_no_exposure
tr_2,within_type_sentence,unsupported_or_no_exposure
tr_2,within_type_phoneme,unsupported_or_no_exposure
tr_2,between_type_sentence,unsupported_or_no_exposure
tr_2,between_type_phoneme,unsupported_or_no_exposure
tr_2,order_sentence,unsupported_or_no_exposure
tr_2,order_phoneme,unsupported_or_no_exposure
tr_2,mean_dissimilarity_sentence,unsupported_or_no_exposure
tr_2,mean_dissimilarity_phoneme,unsupported_or_no_exposure
tr_4,within_token_sentence,unsupported_or_no_exposure
tr_4,within_token_phoneme,unsupported_or_no_exposure
tr_4,within_type_sentence,unsupported_or_no_exposure
tr_4,within_type_phoneme,unsupported_or_no_exposure
tr_4,between_type_sentence,unsupported_or_no_exposure
tr_4,between_type_phoneme,unsupported_or_no_exposure
tr_4,order_sentence,unsupported_or_no_exposure
tr_4,order_phoneme,unsupported_or_no_exposure
tr_4,mean_dissimilarity_sentence,unsupported_or_no_exposure
tr_4,mean_dissimilarity_phoneme,unsupported_or_no_exposure
tr_6,within_token_sentence,unsupported_or_no_exposure
tr_6,within_token_phoneme,unsupported_or_no_exposure
tr_6,within_type_sentence,unsupported_or_no_exposure
tr_6,within_type_phoneme,unsupported_or_no_exposure
tr_6,between_type_sentence,unsupported_or_no_exposure
tr_6,between_type_phoneme,unsupported_or_no_exposure
tr_6,order_sentence,unsupported_or_no_exposure
tr_6,order_phoneme,unsupported_or_no_exposure
tr_6,mean_dissimilarity_sentence,unsupported_or_no_exposure
tr_6,mean_dissimilarity_phoneme,unsupported_or_no_exposure
tr_8,within_token_sentence,unsupported_or_no_exposure
tr_8,within_token_phoneme,unsupported_or_no_exposure
tr_8,within_type_sentence,unsupported_or_no_exposure
tr_8,within_type_phoneme,unsupported_or_no_exposure
tr_8,between_type_sentence,unsupported_or_no_exposure
tr_8,between_type_phoneme,unsupported_or_no_exposure
tr_8,order_sentence,unsupported_or_no_exposure
tr_8,order_phoneme,unsupported_or_no_exposure
tr_8,mean_dissimilarity_sentence,unsupported_or_no_exposure
tr_8,mean_dissimilarity_phoneme,unsupported_or_no_exposure
tr_10,within_token_sentence,unsupported_or_no_exposure
tr_10,within_token_phoneme,unsupported_or_no_exposure
tr_10,within_type_sentence,unsupported_or_no_exposure
tr_10,within_type_phoneme,unsupported_or_no_exposure
tr_10,between_type_sentence,unsupported_or_no_exposure
tr_10,between_type_phoneme,unsupported_or_no_exposure
tr_10,order_sentence,unsupported_or_no_exposure
tr_10,order_phoneme,unsupported_or_no_exposure
tr_10,mean_dissimilarity_sentence,unsupported_or_no_exposure
tr_10,mean_dissimilarity_phoneme,unsupported_or_no_exposure
tr_12,within_token_sentence,unsupported_or_no_exposure
tr_12,within_token_phoneme,unsupported_or_no_exposure
tr_12,within_type_sentence,unsupported_or_no_exposure
tr_12,within_type_phoneme,unsupported_or_no_exposure
tr_12,between_type_sentence,unsupported_or_no_exposure
tr_12,between_type_phoneme,unsupported_or_no_exposure
tr_12,order_sentence,unsupported_or_no_exposure
tr_12,order_phoneme,unsupported_or_no_exposure
tr_12,mean_dissimilarity_sentence,unsupported_or_no_exposure
tr_12,mean_dissimilarity_phoneme,unsupported_or_no_exposure
tr_14,within_token_sentence,unsupported_or_no_exposure
tr_14,within_token_phoneme,unsupported_or_no_exposure
tr_14,within_type_sentence,unsupported_or_no_exposure
tr_14,within_type_phoneme,unsupported_or_no_exposure
tr_14,between_type_sentence,unsupported_or_no_exposure
tr_14,between_type_phoneme,unsupported_or_no_exposure
tr_14,order_sentence,unsupported_or_no_exposure
tr_14,order_phoneme,unsupported_or_no_exposure
tr_14,mean_dissimilarity_sentence,unsupported_or_no_exposure
tr_14,mean_dissimilarity_phoneme,unsupported_or_no_exposure
tr_16,within_token_sentence,unsupported_or_no_exposure
tr_16,within_token_phoneme,unsupported_or_no_exposure
tr_16,within_type_sentence,unsupported_or_no_exposure
tr_16,within_type_phoneme,unsupported_or_no_exposure
tr_16,between_type_sentence,unsupported_or_no_exposure
tr_16,between_type_phoneme,unsupported_or_no_exposure
tr_16,order_sentence,unsupported_or_no_exposure
tr_16,order_phoneme,unsupported_or_no_exposure
tr_16,mean_dissimilarity_sentence,unsupported_or_no_exposure
tr_16,mean_dissimilarity_phoneme,unsupported_or_no_exposure
tr_18,within_token_sentence,unsupported_or_no_exposure
tr_18,within_token_phoneme,unsupported_or_no_exposure
tr_18,within_type_sentence,unsupported_or_no_exposure
tr_18,within_type_phoneme,unsupported_or_no_exposure
tr_18,between_type_sentence,unsupported_or_no_exposure
tr_18,between_type_phoneme,unsupported_or_no_exposure
tr_18,order_sentence,unsupported_or_no_exposure
tr_18,order_phoneme,unsupported_or_no_exposure
tr_18,mean_dissimilarity_sentence,unsupported_or_no_exposure
tr_18,mean_dissimilarity_phoneme,unsupported_or_no_exposure
tr_20,within_token_sentence,unsupported_or_no_exposure
tr_20,within_token_phoneme,unsupported_or_no_exposure
tr_20,within_type_sentence,unsupported_or_no_exposure
tr_20,within_type_phoneme,unsupported_or_no_exposure
tr_20,between_type_sentence,unsupported_or_no_exposure
tr_20,between_type_phoneme,unsupported_or_no_exposure
tr_20,order_sentence,unsupported_or_no_exposure
tr_20,order_phoneme,unsupported_or_no_exposure
tr_20,mean_dissimilarity_sentence,unsupported_or_no_exposure
tr_20,mean_dissimilarity_phoneme,unsupported_or_no_exposure
tr_22,within_token_sentence,unsupported_or_no_exposure
tr_22,within_token_phoneme,unsupported_or_no_exposure
tr_22,within_type_sentence,unsupported_or_no_exposure
tr_22,within_type_phoneme,unsupported_or_no_exposure
tr_22,between_type_sentence,unsupported_or_no_exposure
tr_22,between_type_phoneme,unsupported_or_no_exposure
tr_22,order_sentence,unsupported_or_no_exposure
tr_22,order_phoneme,unsupported_or_no_exposure
tr_22,mean_dissimilarity_sentence,unsupported_or_no_exposure
tr_22,mean_dissimilarity_phoneme,unsupported_or_no_exposure
tr_24,within_token_sentence,unsupported_or_no_exposure
tr_24,within_token_phoneme,unsupported_or_no_exposure
tr_24,within_type_sentence,unsupported_or_no_exposure
tr_24,within_type_phoneme,unsupported_or_no_exposure
tr_24,between_type_sentence,unsupported_or_no_exposure
tr_24,between_type_phoneme,unsupported_or_no_exposure
tr_24,order_sentence,unsupported_or_no_exposure
tr_24,order_phoneme,unsupported_or_no_exposure
tr_24,mean_dissimilarity_sentence,unsupported_or_no_exposure
tr_24,mean_dissimilarity_phoneme,unsupported_or_no_exposure
