dataset_id,feature_key,scope,fold,model_id,random_policy,random_structure,group,term,paired_term,variance,stddev_or_correlation,variance_below_1e_8,singular,convergence,case_id,condition_id
AN19,mfcc39,cv_train,2.0,M_predictor,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,13.6235666707489,3.69101160533924,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,cv_train,2.0,M_predictor,participant_item,participant_item_intercepts,participant_id,(Intercept),,9.26754215350547e-14,3.04426381141738e-07,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,full,,M_null,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,14.7773023792501,3.8441256976392,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,full,,M_null,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,full,,M_predictor,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,12.6377098699883,3.55495567764049,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,mfcc39,full,,M_predictor,participant_item,participant_item_intercepts,participant_id,(Intercept),,1.29673209170564e-15,3.60101665048308e-08,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,cv_train,0.0,M_null,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,15.2081482498698,3.899762588911,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,cv_train,0.0,M_null,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,cv_train,0.0,M_predictor,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,12.309007985557,3.50841958516324,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,cv_train,0.0,M_predictor,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,cv_train,1.0,M_null,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,12.9920531915624,3.60444908294768,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,cv_train,1.0,M_null,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,cv_train,1.0,M_predictor,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,9.5789102358584,3.09498145969542,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,cv_train,1.0,M_predictor,participant_item,participant_item_intercepts,participant_id,(Intercept),,1.01717679195924e-09,3.18932091825085e-05,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,cv_train,2.0,M_null,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,14.9308828403059,3.86405005665116,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,cv_train,2.0,M_null,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,cv_train,2.0,M_predictor,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,13.1219338620559,3.62242099459131,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,cv_train,2.0,M_predictor,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,full,,M_null,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,14.7773023792501,3.8441256976392,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,full,,M_null,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,full,,M_predictor,participant_item,participant_item_intercepts,analysis_item_id,(Intercept),,11.9161110783447,3.45197205642582,False,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
AN19,strf24_legacy,full,,M_predictor,participant_item,participant_item_intercepts,participant_id,(Intercept),,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),c5,AN19.Spanish.test_Spanish
